部门,车牌号,油耗,,,碳排放（KG）,日期
04无排行无提醒,粤B4C0S6,2.51,0.73,3.088,5.6581424,2019/8/1
04无排行无提醒,粤B4C0S6,4.62,0.73,3.088,10.4145888,2019/8/2
04无排行无提醒,粤B4C0S6,1.59,0.73,3.088,3.5842416,2019/8/3
04无排行无提醒,粤B4C0S6,1.62,0.73,3.088,3.6518688,2019/8/4
04无排行无提醒,粤B4C0S6,16.93,0.73,3.088,38.1642832,2019/8/5
04无排行无提醒,粤B4C0S6,11.94,0.73,3.088,26.9156256,2019/8/6
04无排行无提醒,粤B4C0S6,15.3,0.73,3.088,34.489872,2019/8/7
04无排行无提醒,粤B4C0S6,11.91,0.73,3.088,26.8479984,2019/8/8
04无排行无提醒,粤B4C0S6,11.52,0.73,3.088,25.9688448,2019/8/9
04无排行无提醒,粤S09158,1.23,0.73,3.088,2.7727152,2019/8/9
04无排行无提醒,粤S09158,4.84,0.73,3.088,10.9105216,2019/8/10
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/8/10
04无排行无提醒,粤B4C0S6,9.38,0.73,3.088,21.1447712,2019/8/11
04无排行无提醒,粤S09158,7.56,0.73,3.088,17.0420544,2019/8/11
04无排行无提醒,粤B3RC91,4.34,0.73,3.088,9.7834016,2019/8/11
04无排行无提醒,粤B4C0S6,10.45,0.73,3.088,23.556808,2019/8/12
04无排行无提醒,粤B3RC91,9.8,0.73,3.088,22.091552,2019/8/12
04无排行无提醒,粤S09158,4.1,0.73,3.088,9.242384,2019/8/12
04无排行无提醒,粤B4C0S6,10.34,0.73,3.088,23.3088416,2019/8/13
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/8/13
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/8/13
04无排行无提醒,粤B4C0S6,12.55,0.73,3.088,28.290712,2019/8/14
04无排行无提醒,粤B3RC91,0.6,0.73,3.088,1.352544,2019/8/14
04无排行无提醒,粤PR5795,3.31,0.73,3.088,7.4615344,2019/8/14
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/8/14
04无排行无提醒,粤B4C0S6,9.67,0.73,3.088,21.7985008,2019/8/15
04无排行无提醒,粤B3RC91,13.41,0.73,3.088,30.2293584,2019/8/15
04无排行无提醒,粤PR5795,1.99,0.73,3.088,4.4859376,2019/8/15
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/8/15
04无排行无提醒,粤B4C0S6,10.68,0.73,3.088,24.0752832,2019/8/16
04无排行无提醒,粤BP439V,1.85,0.73,3.088,4.170344,2019/8/16
04无排行无提醒,粤B3RC91,0.27,0.73,3.088,0.6086448,2019/8/16
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/8/16
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/8/16
04无排行无提醒,粤B4C0S6,10.1,0.73,3.088,22.767824,2019/8/17
04无排行无提醒,粤BP439V,4.91,0.73,3.088,11.0683184,2019/8/17
04无排行无提醒,粤B3RC91,0.53,0.73,3.088,1.1947472,2019/8/17
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/8/17
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/8/17
04无排行无提醒,粤B3RC91,1.77,0.73,3.088,3.9900048,2019/8/18
04无排行无提醒,粤BP439V,1.15,0.73,3.088,2.592376,2019/8/18
04无排行无提醒,粤B4C0S6,2.24,0.73,3.088,5.0494976,2019/8/18
04无排行无提醒,粤PR5795,2.57,0.73,3.088,5.7933968,2019/8/18
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/8/18
04无排行无提醒,粤B4C0S6,10.13,0.73,3.088,22.8354512,2019/8/19
04无排行无提醒,粤BP439V,3.72,0.73,3.088,8.3857728,2019/8/19
04无排行无提醒,粤B3RC91,1.95,0.73,3.088,4.395768,2019/8/19
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/8/19
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/8/19
04无排行无提醒,粤B4C0S6,10.95,0.73,3.088,24.683928,2019/8/20
04无排行无提醒,粤B3RC91,6.31,0.73,3.088,14.2242544,2019/8/20
04无排行无提醒,粤BP439V,4.21,0.73,3.088,9.4903504,2019/8/20
04无排行无提醒,粤PR5795,1.88,0.73,3.088,4.2379712,2019/8/20
04无排行无提醒,粤STB959,0.16,0.73,3.088,0.3606784,2019/8/20
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/8/20
04无排行无提醒,粤B4C0S6,9.61,0.73,3.088,21.6632464,2019/8/21
04无排行无提醒,粤BP439V,7.41,0.73,3.088,16.7039184,2019/8/21
04无排行无提醒,粤PR5795,3.51,0.73,3.088,7.9123824,2019/8/21
04无排行无提醒,粤STB959,0.08,0.73,3.088,0.1803392,2019/8/21
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/8/21
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/8/21
04无排行无提醒,粤B4C0S6,11.44,0.73,3.088,25.7885056,2019/8/22
