部门,车牌号,油耗,,,碳排放（KG）,日期
04无排行无提醒,皖AT0623,23.81,0.73,3.088,53.6734544,2020/3/1
04无排行无提醒,皖AT0608,28.54,0.73,3.088,64.3360096,2020/3/1
04无排行无提醒,皖AT0658,25.51,0.73,3.088,57.5056624,2020/3/1
04无排行无提醒,皖AT0661,20.22,0.73,3.088,45.5807328,2020/3/1
04无排行无提醒,皖AT0565,17.84,0.73,3.088,40.2156416,2020/3/1
04无排行无提醒,粤BP439V,4.65,0.73,3.088,10.482216,2020/3/1
04无排行无提醒,皖AT0540,2.26,0.73,3.088,5.0945824,2020/3/1
04无排行无提醒,皖AT0616,0,0.73,3.088,0,2020/3/1
04无排行无提醒,皖AT0666,0,0.73,3.088,0,2020/3/1
04无排行无提醒,皖AT0556,0,0.73,3.088,0,2020/3/1
04无排行无提醒,皖AT0560,0,0.73,3.088,0,2020/3/1
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2020/3/1
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2020/3/1
04无排行无提醒,粤STB959,0,0.73,3.088,0,2020/3/1
04无排行无提醒,粤S09158,0,0.73,3.088,0,2020/3/1
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2020/3/1
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2020/3/1
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2020/3/1
04无排行无提醒,皖AT0608,39.59,0.73,3.088,89.2453616,2020/3/2
04无排行无提醒,皖AT0623,32.43,0.73,3.088,73.1050032,2020/3/2
04无排行无提醒,皖AT0661,23.01,0.73,3.088,51.8700624,2020/3/2
04无排行无提醒,皖AT0565,15.35,0.73,3.088,34.602584,2020/3/2
04无排行无提醒,皖AT0658,11.69,0.73,3.088,26.3520656,2020/3/2
04无排行无提醒,皖AT0540,7.31,0.73,3.088,16.4784944,2020/3/2
04无排行无提醒,皖AT0666,7.26,0.73,3.088,16.3657824,2020/3/2
04无排行无提醒,粤BP439V,4.94,0.73,3.088,11.1359456,2020/3/2
04无排行无提醒,皖AT0560,0,0.73,3.088,0,2020/3/2
04无排行无提醒,皖AT0556,0,0.73,3.088,0,2020/3/2
04无排行无提醒,皖AT0616,0,0.73,3.088,0,2020/3/2
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2020/3/2
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2020/3/2
04无排行无提醒,粤STB959,0,0.73,3.088,0,2020/3/2
04无排行无提醒,粤S09158,0,0.73,3.088,0,2020/3/2
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2020/3/2
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2020/3/2
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2020/3/2
04无排行无提醒,皖AT0565,31.37,0.73,3.088,70.7155088,2020/3/3
04无排行无提醒,皖AT0623,26.42,0.73,3.088,59.5570208,2020/3/3
04无排行无提醒,皖AT0661,21.03,0.73,3.088,47.4066672,2020/3/3
04无排行无提醒,皖AT0540,16.81,0.73,3.088,37.8937744,2020/3/3
04无排行无提醒,皖AT0608,17.61,0.73,3.088,39.6971664,2020/3/3
04无排行无提醒,皖AT0666,20.86,0.73,3.088,47.0234464,2020/3/3
04无排行无提醒,皖AT0658,13.71,0.73,3.088,30.9056304,2020/3/3
04无排行无提醒,粤BP439V,5.54,0.73,3.088,12.4884896,2020/3/3
04无排行无提醒,皖AT0556,0,0.73,3.088,0,2020/3/3
