部门,车牌号,油耗,,,碳排放（KG）,日期
04无排行无提醒,粤BP439V,4.91,0.73,3.088,11.0683184,2019/11/10
04无排行无提醒,粤PR5795,2.39,0.73,3.088,5.3876336,2019/11/10
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/10
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/11/10
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/10
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/10
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/10
04无排行无提醒,皖AT0540,55.36,0.73,3.088,124.7947264,2019/11/11
04无排行无提醒,粤B0Y92H,16.23,0.73,3.088,36.5863152,2019/11/11
04无排行无提醒,粤BP439V,5.46,0.73,3.088,12.3081504,2019/11/11
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/11/11
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/11
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/11/11
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/11
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/11
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/11
04无排行无提醒,皖AT0540,53.42,0.73,3.088,120.4215008,2019/11/12
04无排行无提醒,粤BP439V,7.97,0.73,3.088,17.9662928,2019/11/12
04无排行无提醒,粤B0Y92H,3.7,0.73,3.088,8.340688,2019/11/12
04无排行无提醒,粤STB959,0.71,0.73,3.088,1.6005104,2019/11/12
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/12
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/12
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/11/12
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/12
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/12
04无排行无提醒,皖AT0540,50.45,0.73,3.088,113.726408,2019/11/13
04无排行无提醒,粤BP439V,3.04,0.73,3.088,6.8528896,2019/11/13
04无排行无提醒,粤B0Y92H,1.34,0.73,3.088,3.0206816,2019/11/13
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/13
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/13
04无排行无提醒,粤PR5795,1.66,0.73,3.088,3.7420384,2019/11/13
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/13
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/11/13
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/13
04无排行无提醒,皖AT0540,31.14,0.73,3.088,70.1970336,2019/11/14
04无排行无提醒,粤BP439V,2.16,0.73,3.088,4.8691584,2019/11/14
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/11/14
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2019/11/14
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/14
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/14
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/14
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/11/14
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/14
04无排行无提醒,皖AT0540,49.74,0.73,3.088,112.1258976,2019/11/15
04无排行无提醒,粤B0Y92H,23.09,0.73,3.088,52.0504016,2019/11/15
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/11/15
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/15
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/15
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/15
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/11/15
