部门,车牌号,油耗,,,碳排放（KG）,日期
04无排行无提醒,皖AT0661,27.9,0.73,3.088,62.893296,2020/2/1
04无排行无提醒,皖AT0623,19.18,0.73,3.088,43.2363232,2020/2/1
04无排行无提醒,粤STB959,8.2,0.73,3.088,18.484768,2020/2/1
04无排行无提醒,皖AT0658,5.99,0.73,3.088,13.5028976,2020/2/1
04无排行无提醒,皖AT0560,0,0.73,3.088,0,2020/2/1
04无排行无提醒,皖AT0608,0,0.73,3.088,0,2020/2/1
04无排行无提醒,皖AT0556,0,0.73,3.088,0,2020/2/1
04无排行无提醒,皖AT0565,0,0.73,3.088,0,2020/2/1
04无排行无提醒,皖AT0666,0,0.73,3.088,0,2020/2/1
04无排行无提醒,皖AT0616,0,0.73,3.088,0,2020/2/1
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2020/2/1
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2020/2/1
04无排行无提醒,皖AT0540,0,0.73,3.088,0,2020/2/1
04无排行无提醒,粤S09158,0,0.73,3.088,0,2020/2/1
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2020/2/1
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2020/2/1
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2020/2/1
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2020/2/1
04无排行无提醒,皖AT0661,19.45,0.73,3.088,43.844968,2020/2/2
04无排行无提醒,皖AT0658,0.17,0.73,3.088,0.3832208,2020/2/2
04无排行无提醒,皖AT0556,0,0.73,3.088,0,2020/2/2
04无排行无提醒,皖AT0560,0,0.73,3.088,0,2020/2/2
04无排行无提醒,皖AT0608,0,0.73,3.088,0,2020/2/2
04无排行无提醒,皖AT0565,0,0.73,3.088,0,2020/2/2
04无排行无提醒,皖AT0623,0,0.73,3.088,0,2020/2/2
04无排行无提醒,皖AT0666,0,0.73,3.088,0,2020/2/2
04无排行无提醒,皖AT0616,0,0.73,3.088,0,2020/2/2
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2020/2/2
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2020/2/2
04无排行无提醒,粤STB959,0,0.73,3.088,0,2020/2/2
04无排行无提醒,皖AT0540,0,0.73,3.088,0,2020/2/2
04无排行无提醒,粤S09158,0,0.73,3.088,0,2020/2/2
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2020/2/2
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2020/2/2
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2020/2/2
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2020/2/2
04无排行无提醒,皖AT0661,27.31,0.73,3.088,61.5632944,2020/2/3
04无排行无提醒,皖AT0623,16.15,0.73,3.088,36.405976,2020/2/3
04无排行无提醒,皖AT0658,6.67,0.73,3.088,15.0357808,2020/2/3
04无排行无提醒,粤BP439V,5.14,0.73,3.088,11.5867936,2020/2/3
04无排行无提醒,粤STB959,2.89,0.73,3.088,6.5147536,2020/2/3
04无排行无提醒,皖AT0560,0,0.73,3.088,0,2020/2/3
04无排行无提醒,皖AT0608,0,0.73,3.088,0,2020/2/3
04无排行无提醒,皖AT0556,0,0.73,3.088,0,2020/2/3
04无排行无提醒,皖AT0565,0,0.73,3.088,0,2020/2/3
04无排行无提醒,皖AT0666,0,0.73,3.088,0,2020/2/3
04无排行无提醒,皖AT0616,0,0.73,3.088,0,2020/2/3
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2020/2/3
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2020/2/3
04无排行无提醒,皖AT0540,0,0.73,3.088,0,2020/2/3
04无排行无提醒,粤S09158,0,0.73,3.088,0,2020/2/3
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2020/2/3
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2020/2/3
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2020/2/3
04无排行无提醒,皖AT0623,20.04,0.73,3.088,45.1749696,2020/2/4
04无排行无提醒,皖AT0661,18.34,0.73,3.088,41.3427616,2020/2/4
04无排行无提醒,粤STB959,8.89,0.73,3.088,20.0401936,2020/2/4
04无排行无提醒,皖AT0540,0.72,0.73,3.088,1.6230528,2020/2/4
04无排行无提醒,皖AT0560,0,0.73,3.088,0,2020/2/4
04无排行无提醒,皖AT0608,0.63,0.73,3.088,1.4201712,2020/2/4
04无排行无提醒,皖AT0556,0,0.73,3.088,0,2020/2/4
04无排行无提醒,皖AT0565,0,0.73,3.088,0,2020/2/4
04无排行无提醒,皖AT0666,0,0.73,3.088,0,2020/2/4
04无排行无提醒,皖AT0658,0,0.73,3.088,0,2020/2/4
04无排行无提醒,皖AT0616,0,0.73,3.088,0,2020/2/4
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2020/2/4
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2020/2/4
04无排行无提醒,粤S09158,0,0.73,3.088,0,2020/2/4
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2020/2/4
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2020/2/4
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2020/2/4
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2020/2/4
04无排行无提醒,皖AT0661,25.74,0.73,3.088,58.0241376,2020/2/5
04无排行无提醒,皖AT0623,24.38,0.73,3.088,54.9583712,2020/2/5
04无排行无提醒,皖AT0658,15.67,0.73,3.088,35.3239408,2020/2/5
04无排行无提醒,粤STB959,3.67,0.73,3.088,8.2730608,2020/2/5
