部门,车牌号,油耗,,,碳排放（KG）,日期
04无排行无提醒,粤B0Y92H,5.13,0.73,3.088,11.5642512,2019/9/1
04无排行无提醒,粤B4C0S6,1.67,0.73,3.088,3.7645808,2019/9/1
04无排行无提醒,粤STB959,0.9,0.73,3.088,2.028816,2019/9/1
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/9/1
04无排行无提醒,粤PR5795,1.58,0.73,3.088,3.5616992,2019/9/1
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/9/1
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/9/1
04无排行无提醒,粤B4C0S6,6.59,0.73,3.088,14.8554416,2019/9/2
04无排行无提醒,粤B0Y92H,3.19,0.73,3.088,7.1910256,2019/9/2
04无排行无提醒,粤STB959,0.83,0.73,3.088,1.8710192,2019/9/2
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/9/2
04无排行无提醒,粤PR5795,0.43,0.73,3.088,0.9693232,2019/9/2
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/9/2
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/9/2
04无排行无提醒,粤B4C0S6,2.8,0.73,3.088,6.311872,2019/9/3
04无排行无提醒,粤B0Y92H,3.61,0.73,3.088,8.1378064,2019/9/3
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/9/3
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/9/3
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/9/3
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/9/3
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/9/3
04无排行无提醒,粤B0Y92H,14.12,0.73,3.088,31.8298688,2019/9/4
04无排行无提醒,粤B4C0S6,0.42,0.73,3.088,0.9467808,2019/9/4
04无排行无提醒,粤PR5795,1.69,0.73,3.088,3.8096656,2019/9/4
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/9/4
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/9/4
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/9/4
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/9/4
04无排行无提醒,粤STB959,4.49,0.73,3.088,10.1215376,2019/9/5
04无排行无提醒,粤B0Y92H,12.8,0.73,3.088,28.854272,2019/9/5
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/9/5
04无排行无提醒,粤PR5795,2.1,0.73,3.088,4.733904,2019/9/5
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/9/5
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/9/5
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/9/5
04无排行无提醒,粤STB959,4.38,0.73,3.088,9.8735712,2019/9/6
04无排行无提醒,粤B0Y92H,14.37,0.73,3.088,32.3934288,2019/9/6
04无排行无提醒,粤PR5795,1.25,0.73,3.088,2.8178,2019/9/6
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/9/6
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/9/6
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/9/6
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/9/6
04无排行无提醒,粤B4C0S6,6.52,0.73,3.088,14.6976448,2019/9/7
04无排行无提醒,粤STB959,0.12,0.73,3.088,0.2705088,2019/9/7
04无排行无提醒,粤BP439V,0.01,0.73,3.088,0.0225424,2019/9/7
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/9/7
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/9/7
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/9/7
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2019/9/7
04无排行无提醒,粤B4C0S6,3.89,0.73,3.088,8.7689936,2019/9/8
04无排行无提醒,粤B0Y92H,3.65,0.73,3.088,8.227976,2019/9/8
04无排行无提醒,粤BP439V,0.59,0.73,3.088,1.3300016,2019/9/8
04无排行无提醒,粤STB959,0.05,0.73,3.088,0.112712,2019/9/8
04无排行无提醒,粤PR5795,2.45,0.73,3.088,5.522888,2019/9/8
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/9/8
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/9/8
04无排行无提醒,粤B4C0S6,6.87,0.73,3.088,15.4866288,2019/9/9
04无排行无提醒,粤B0Y92H,2.73,0.73,3.088,6.1540752,2019/9/9
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/9/9
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/9/9
04无排行无提醒,粤PR5795,0.81,0.73,3.088,1.8259344,2019/9/9
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/9/9
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/9/9
04无排行无提醒,粤B0Y92H,1.02,0.73,3.088,2.2993248,2019/9/10
04无排行无提醒,粤B4C0S6,0.35,0.73,3.088,0.788984,2019/9/10
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/9/10
04无排行无提醒,粤PR5795,3.36,0.73,3.088,7.5742464,2019/9/10
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/9/10
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/9/10
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/9/10
04无排行无提醒,粤BP439V,7.9,0.73,3.088,17.808496,2019/9/11
04无排行无提醒,粤B83CT2,1.82,0.73,3.088,4.1027168,2019/9/11
04无排行无提醒,粤PR5795,3.85,0.73,3.088,8.678824,2019/9/11
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2019/9/11
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/9/11
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/9/11
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/9/11
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/9/11
04无排行无提醒,粤B4C0S6,11.46,0.73,3.088,25.8335904,2019/9/12
04无排行无提醒,粤PR5795,3.96,0.73,3.088,8.9267904,2019/9/12
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2019/9/12
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/9/12
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/9/12
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/9/12
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/9/12
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/9/12
04无排行无提醒,粤B4C0S6,6.77,0.73,3.088,15.2612048,2019/9/13
04无排行无提醒,粤B0Y92H,4.29,0.73,3.088,9.6706896,2019/9/13
