部门,车牌号,油耗,,,碳排放（KG）,日期
04无排行无提醒,粤STB959,4.7,0.73,3.088,10.594928,2019/10/1
04无排行无提醒,粤BP439V,4.45,0.73,3.088,10.031368,2019/10/1
04无排行无提醒,粤B0Y92H,5.55,0.73,3.088,12.511032,2019/10/1
04无排行无提醒,粤PR5795,7.27,0.73,3.088,16.3883248,2019/10/1
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/10/1
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/10/1
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/10/1
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/10/1
04无排行无提醒,粤B0Y92H,18.41,0.73,3.088,41.5005584,2019/10/2
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/10/2
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/10/2
04无排行无提醒,粤PR5795,1.83,0.73,3.088,4.1252592,2019/10/2
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/10/2
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/10/2
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/10/2
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/10/2
04无排行无提醒,粤STB959,33.57,0.73,3.088,75.6748368,2019/10/3
04无排行无提醒,粤BP439V,6.55,0.73,3.088,14.765272,2019/10/3
04无排行无提醒,粤B0Y92H,2.3,0.73,3.088,5.184752,2019/10/3
04无排行无提醒,粤PR5795,2.87,0.73,3.088,6.4696688,2019/10/3
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/10/3
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/10/3
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/10/3
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/10/3
04无排行无提醒,粤STB959,1.83,0.73,3.088,4.1252592,2019/10/4
04无排行无提醒,粤B0Y92H,3.9,0.73,3.088,8.791536,2019/10/4
04无排行无提醒,粤BP439V,0.06,0.73,3.088,0.1352544,2019/10/4
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/10/4
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/10/4
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/10/4
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/10/4
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/10/4
04无排行无提醒,粤B0Y92H,14.32,0.73,3.088,32.2807168,2019/10/5
04无排行无提醒,粤STB959,0.14,0.73,3.088,0.3155936,2019/10/5
04无排行无提醒,粤PR5795,1.04,0.73,3.088,2.3444096,2019/10/5
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/10/5
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/10/5
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/10/5
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/10/5
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/10/5
04无排行无提醒,粤B0Y92H,22.67,0.73,3.088,51.1036208,2019/10/6
04无排行无提醒,粤PR5795,1.89,0.73,3.088,4.2605136,2019/10/6
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/10/6
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/10/6
04无排行无提醒,粤STB959,0.08,0.73,3.088,0.1803392,2019/10/6
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/10/6
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/10/6
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/10/6
04无排行无提醒,粤STB959,9.53,0.73,3.088,21.4829072,2019/10/7
04无排行无提醒,粤B0Y92H,6.99,0.73,3.088,15.7571376,2019/10/7
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/10/7
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/10/7
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/10/7
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/10/7
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/10/7
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/10/7
04无排行无提醒,粤STB959,4.13,0.73,3.088,9.3100112,2019/10/8
04无排行无提醒,粤B0Y92H,0.1,0.73,3.088,0.225424,2019/10/8
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/10/8
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/10/8
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/10/8
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/10/8
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/10/8
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/10/8
04无排行无提醒,粤B0Y92H,0.02,0.73,3.088,0.0450848,2019/10/9
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/10/9
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/10/9
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/10/9
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/10/9
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/10/9
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/10/9
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/10/9
04无排行无提醒,粤B0Y92H,15.36,0.73,3.088,34.6251264,2019/10/10
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/10/10
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/10/10
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/10/10
04无排行无提醒,粤STB959,0.01,0.73,3.088,0.0225424,2019/10/10
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/10/10
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/10/10
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/10/10
04无排行无提醒,粤B0Y92H,3.45,0.73,3.088,7.777128,2019/10/11
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/10/11
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/10/11
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/10/11
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/10/11
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/10/11
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/10/11
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/10/11
04无排行无提醒,粤B0Y92H,1.37,0.73,3.088,3.0883088,2019/10/12
04无排行无提醒,粤STB959,0.92,0.73,3.088,2.0739008,2019/10/12
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/10/12
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/10/12
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/10/12
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/10/12
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/10/12
