部门,车牌号,油耗,,,碳排放(KG),日期
03无排行有提醒,粤B2X562,0.97,0.73,3.088,2.1866128,2019/8/22
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/22
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/8/22
03无排行有提醒,粤B3AU48,10.33,0.73,3.088,23.2862992,2019/8/23
03无排行有提醒,渝D865V3,4.92,0.73,3.088,11.0908608,2019/8/23
03无排行有提醒,粤STC809,3.98,0.73,3.088,8.9718752,2019/8/23
03无排行有提醒,粤B2X562,0.52,0.73,3.088,1.1722048,2019/8/23
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/23
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/8/23
03无排行有提醒,粤B533CJ,0,0.73,3.088,0,2019/8/23
03无排行有提醒,渝D865V3,3.7,0.73,3.088,8.340688,2019/8/24
03无排行有提醒,粤STC809,8.79,0.73,3.088,19.8147696,2019/8/24
03无排行有提醒,粤B2X562,1.21,0.73,3.088,2.7276304,2019/8/24
03无排行有提醒,粤B3AU48,0.06,0.73,3.088,0.1352544,2019/8/24
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/8/24
03无排行有提醒,粤B533CJ,0,0.73,3.088,0,2019/8/24
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/24
03无排行有提醒,粤B3AU48,7.19,0.73,3.088,16.2079856,2019/8/25
03无排行有提醒,渝D865V3,4.33,0.73,3.088,9.7608592,2019/8/25
03无排行有提醒,粤STC809,4.04,0.73,3.088,9.1071296,2019/8/25
03无排行有提醒,粤B2X562,1.07,0.73,3.088,2.4120368,2019/8/25
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/25
03无排行有提醒,粤B533CJ,0,0.73,3.088,0,2019/8/25
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/8/25
03无排行有提醒,渝D865V3,4.55,0.73,3.088,10.256792,2019/8/26
03无排行有提醒,粤STC809,10.33,0.73,3.088,23.2862992,2019/8/26
03无排行有提醒,粤B2X562,0.45,0.73,3.088,1.014408,2019/8/26
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/26
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/8/26
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/8/26
03无排行有提醒,粤B533CJ,0,0.73,3.088,0,2019/8/26
03无排行有提醒,渝D865V3,4.19,0.73,3.088,9.4452656,2019/8/27
03无排行有提醒,粤STC809,11.47,0.73,3.088,25.8561328,2019/8/27
03无排行有提醒,粤B2X562,0,0.73,3.088,0,2019/8/27
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/8/27
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/27
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/8/27
03无排行有提醒,粤B533CJ,0,0.73,3.088,0,2019/8/27
03无排行有提醒,粤B2X562,4.16,0.73,3.088,9.3776384,2019/8/28
03无排行有提醒,渝D865V3,4.35,0.73,3.088,9.805944,2019/8/28
03无排行有提醒,粤STC809,7.98,0.73,3.088,17.9888352,2019/8/28
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/8/28
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/28
03无排行有提醒,粤B533CJ,0,0.73,3.088,0,2019/8/28
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/8/28
03无排行有提醒,粤STC809,17.52,0.73,3.088,39.4942848,2019/8/29
03无排行有提醒,渝D865V3,4.58,0.73,3.088,10.3244192,2019/8/29
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/29
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/8/29
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/8/29
03无排行有提醒,粤B2X562,0,0.73,3.088,0,2019/8/29
03无排行有提醒,粤B533CJ,0,0.73,3.088,0,2019/8/29
03无排行有提醒,渝D865V3,4.72,0.73,3.088,10.6400128,2019/8/30
03无排行有提醒,粤STC809,14.18,0.73,3.088,31.9651232,2019/8/30
03无排行有提醒,粤B2X562,0.46,0.73,3.088,1.0369504,2019/8/30
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/8/30
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/30
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/8/30
03无排行有提醒,粤B533CJ,0,0.73,3.088,0,2019/8/30
