日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
2019年11月,皖AT0540,04无排行无提醒,0,30,1307.13,2946.27,0
2019年11月,粤B0Y92H,04无排行无提醒,13,17,162.49,366.25,280.08
2019年11月,粤PR5795,04无排行无提醒,8,22,38.71,87.25,31.73
2019年11月,粤STB959,04无排行无提醒,16,14,31.08,70.05,80.06
2019年11月,粤BP439V,04无排行无提醒,7,23,98.71,222.49,67.72
2019年11月,粤B83CT2,04无排行无提醒,29,1,1.13,2.55,73.86
2019年11月,粤B4C0S6,04无排行无提醒,30,0,0,0,564.3
2019年11月,粤B3RC91,04无排行无提醒,30,0,0,0,251.1
2019年11月,粤S09158,04无排行无提醒,30,0,0,0,299.7
2019年11月,皖AT0623,04无排行无提醒,0,3,110.16,248.3,0
2019年11月,皖AT0658,04无排行无提醒,0,3,91.38,205.97,0
2019年11月,皖AT0560,04无排行无提醒,0,3,167.59,377.75,0
2019年11月,皖AT0565,04无排行无提醒,0,3,124.88,281.48,0
2019年11月,皖AT0666,04无排行无提醒,0,3,93.85,211.54,0
2019年11月,皖AT0608,04无排行无提醒,0,2,56.25,126.79,0
2019年11月,皖AT0661,04无排行无提醒,0,3,91.51,206.26,0
2019年11月,皖AT0616,04无排行无提醒,0,3,86.75,195.53,0
2019年11月,皖AT0556,04无排行无提醒,0,1,5.29,11.92,0
