日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
2020年9月,皖AT0565,04无排行无提醒,0,30,1755.32,3956.49,0
2020年9月,皖AT0540,04无排行无提醒,0,30,1619.02,3649.27,0
2020年9月,皖AT0623,04无排行无提醒,0,30,1227.74,2767.33,0
2020年9月,皖AT0658,04无排行无提醒,1,29,941.15,2121.35,73.15
2020年9月,皖AT0608,04无排行无提醒,0,30,1121.76,2528.45,0
2020年9月,皖AT0560,04无排行无提醒,30,0,0,0,4516.2
2020年9月,皖AT0616,04无排行无提醒,30,0,0,0,1908.6
2020年9月,皖AT0666,04无排行无提醒,30,0,0,0,2236.2
2020年9月,皖AT0556,04无排行无提醒,0,0,0,0,0
2020年9月,皖AT0661,04无排行无提醒,30,0,0,0,1977.6
2020年9月,粤B3RC91,04无排行无提醒,30,0,0,0,251.1
2020年9月,粤B4C0S6,04无排行无提醒,30,0,0,0,564.3
2020年9月,粤STB959,04无排行无提醒,30,0,0,0,274.8
2020年9月,粤S09158,04无排行无提醒,30,0,0,0,299.7
2020年9月,粤B83CT2,04无排行无提醒,30,0,0,0,99.6
2020年9月,粤B0Y92H,04无排行无提醒,30,0,0,0,612
2020年9月,粤BP439V,04无排行无提醒,30,0,0,0,343.2
2020年9月,粤PR5795,04无排行无提醒,30,0,0,0,147.6
