日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
2019年12月,皖AT0560,04无排行无提醒,0,31,2094.86,4721.81,0
2019年12月,皖AT0540,04无排行无提醒,0,31,1599.57,3605.43,0
2019年12月,皖AT0623,04无排行无提醒,0,31,1294.41,2917.6,0
2019年12月,皖AT0658,04无排行无提醒,0,31,1638.67,3693.56,0
2019年12月,皖AT0666,04无排行无提醒,0,31,1253.32,2824.98,0
2019年12月,皖AT0565,04无排行无提醒,0,31,1512.63,3409.47,0
2019年12月,皖AT0661,04无排行无提醒,0,31,1144.37,2579.41,0
2019年12月,粤BP439V,04无排行无提醒,7,24,100.44,226.39,66.03
2019年12月,粤STB959,04无排行无提醒,11,19,41.78,94.17,54.52
2019年12月,粤B0Y92H,04无排行无提醒,21,10,97.75,220.33,462.69
2019年12月,皖AT0616,04无排行无提醒,22,9,250.96,565.66,1382.73
2019年12月,粤PR5795,04无排行无提醒,18,11,18.11,40.82,66.8
2019年12月,皖AT0608,04无排行无提醒,3,28,1241.15,2797.55,299.74
2019年12月,皖AT0556,04无排行无提醒,0,0,0,0,0
2019年12月,粤S09158,04无排行无提醒,31,0,0,0,309.69
2019年12月,粤B3RC91,04无排行无提醒,31,0,0,0,259.47
2019年12月,粤B83CT2,04无排行无提醒,31,0,0,0,102.92
2019年12月,粤B4C0S6,04无排行无提醒,31,0,0,0,583.11
