日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
2020年2月,皖AT0541,02有排行无提醒,1,28,628.5,1416.64,50.59
2020年2月,皖AT0580,02有排行无提醒,1,28,146.95,331.23,11.83
2020年2月,粤BL05M1,02有排行无提醒,19,10,111.03,250.26,475.5
2020年2月,皖AT0613,02有排行无提醒,19,10,35.04,78.98,150.06
2020年2月,粤JCL629,02有排行无提醒,18,11,16.28,36.7,60.05
2020年2月,皖AT0576,02有排行无提醒,23,6,2.01,4.53,17.37
2020年2月,皖AT0620,02有排行无提醒,19,10,53.37,120.3,228.56
2020年2月,皖AT0601,02有排行无提醒,20,9,167.37,377.25,838.34
2020年2月,皖AT0657,02有排行无提醒,1,28,608.93,1372.53,49.02
2020年2月,皖AT0641,02有排行无提醒,0,0,0,0,0
2020年2月,皖AT0575,02有排行无提醒,21,8,131.8,297.08,779.83
2020年2月,皖AT0543,02有排行无提醒,29,0,0,0,966.86
2020年2月,闽C88DN2,02有排行无提醒,29,0,0,0,101.79
2020年2月,粤B3Q03K,02有排行无提醒,7,20,45.71,103.03,36.06
2020年2月,1.22E+16,02有排行无提醒,29,0,0,0,53.65
2020年2月,皖AYY059,02有排行无提醒,29,0,0,0,228.52
2020年2月,粤B9XN26,02有排行无提醒,28,1,5.48,12.35,345.85
2020年2月,粤SL3H57,02有排行无提醒,29,0,0,0,130.5
2020年2月,粤B7U0H5,02有排行无提醒,29,0,0,0,112.81
2020年2月,粤BN8G52,02有排行无提醒,0,0,0,0,0
