日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
2020年6月,皖AT0601,02有排行无提醒,0,30,1222.4,2755.29,0
2020年6月,皖AT0541,02有排行无提醒,0,30,1193.62,2690.42,0
2020年6月,皖AT0576,02有排行无提醒,15,15,564.06,1271.39,1271.39
2020年6月,皖AT0657,02有排行无提醒,0,30,1100.49,2480.5,0
2020年6月,皖AT0620,02有排行无提醒,0,30,1119.33,2522.97,0
2020年6月,粤B9XN26,02有排行无提醒,3,27,306.88,691.71,76.86
2020年6月,粤JCL629,02有排行无提醒,7,23,47.47,107,32.56
2020年6月,粤B3Q03K,02有排行无提醒,0,30,117.29,264.37,0
2020年6月,粤BL05M1,02有排行无提醒,26,4,10.26,23.13,150.32
2020年6月,1.22E+16,02有排行无提醒,30,0,0,0,55.5
2020年6月,皖AT0575,02有排行无提醒,30,0,0,0,3156.3
2020年6月,皖AT0641,02有排行无提醒,0,0,0,0,0
2020年6月,皖AT0580,02有排行无提醒,30,0,0,0,761.7
2020年6月,皖AYY059,02有排行无提醒,30,0,0,0,236.4
2020年6月,皖AT0613,02有排行无提醒,1,29,1137.56,2564.06,88.42
2020年6月,闽C88DN2,02有排行无提醒,30,0,0,0,105.3
2020年6月,粤SL3H57,02有排行无提醒,30,0,0,0,135
2020年6月,粤B7U0H5,02有排行无提醒,30,0,0,0,116.7
2020年6月,皖AT0543,02有排行无提醒,30,0,0,0,1000.2
2020年6月,粤BN8G52,02有排行无提醒,0,0,0,0,0
