日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
2020年5月,皖AT0601,02有排行无提醒,0,31,1247.22,2811.23,0
2020年5月,皖AT0541,02有排行无提醒,0,31,1854.03,4178.98,0
2020年5月,皖AT0657,02有排行无提醒,0,31,1230.5,2773.55,0
2020年5月,皖AT0576,02有排行无提醒,1,30,1034.1,2330.86,77.7
2020年5月,皖AT0620,02有排行无提醒,0,31,1002.63,2259.93,0
2020年5月,粤B9XN26,02有排行无提醒,5,26,283.74,639.55,122.99
2020年5月,粤B3Q03K,02有排行无提醒,1,30,101.15,227.99,7.6
2020年5月,皖AYY059,02有排行无提醒,31,0,0,0,244.28
2020年5月,粤JCL629,02有排行无提醒,18,13,23.48,52.92,73.28
2020年5月,皖AT0641,02有排行无提醒,0,0,0,0,0
2020年5月,皖AT0575,02有排行无提醒,31,0,0,0,3261.51
2020年5月,1.22E+16,02有排行无提醒,31,0,0,0,57.35
2020年5月,闽C88DN2,02有排行无提醒,31,0,0,0,108.81
2020年5月,皖AT0580,02有排行无提醒,31,0,0,0,787.09
2020年5月,粤SL3H57,02有排行无提醒,31,0,0,0,139.5
2020年5月,粤BL05M1,02有排行无提醒,16,15,96.39,217.26,231.75
2020年5月,粤B7U0H5,02有排行无提醒,31,0,0,0,120.59
2020年5月,粤BN8G52,02有排行无提醒,0,0,0,0,0
2020年5月,皖AT0613,02有排行无提醒,14,17,674.72,1520.82,1252.44
2020年5月,皖AT0543,02有排行无提醒,31,0,0,0,1033.54
