部门,车牌号,日期,驾驶行为评分,排名
03无排行有提醒,粤B2X562,2019/12/1,100,1
01有排行有提醒,粤S45B27,2019/12/1,100,1
03无排行有提醒,粤B533CJ,2019/12/1,100,1
04无排行无提醒,粤B3RC91,2019/12/1,100,1
01有排行有提醒,粤BH218W,2019/12/1,100,1
03无排行有提醒,渝D865V3,2019/12/1,100,1
04无排行无提醒,粤B83CT2,2019/12/1,100,1
04无排行无提醒,粤S09158,2019/12/1,100,1
02有排行无提醒,粤BL05M1,2019/12/1,100,1
03无排行有提醒,粤B892VK,2019/12/1,100,1
03无排行有提醒,粤BY1047,2019/12/1,100,1
02有排行无提醒,粤JCL629,2019/12/1,100,1
03无排行有提醒,粤B3AU48,2019/12/1,100,1
01有排行有提醒,粤LBY602,2019/12/1,100,1
02有排行无提醒,皖AYY059,2019/12/1,100,1
01有排行有提醒,皖AT0599,2019/12/1,100,1
01有排行有提醒,皖AT0626,2019/12/1,100,1
02有排行无提醒,粤SL3H57,2019/12/1,100,1
02有排行无提醒,皖AT0543,2019/12/1,100,1
02有排行无提醒,闽C88DN2,2019/12/1,100,1
04无排行无提醒,粤B4C0S6,2019/12/1,100,1
02有排行无提醒,粤B7U0H5,2019/12/1,100,1
04无排行无提醒,皖AT0608,2019/12/1,99.77,2
04无排行无提醒,粤PR5795,2019/12/1,98.42,3
02有排行无提醒,粤B3Q03K,2019/12/1,98.33,4
04无排行无提醒,皖AT0616,2019/12/1,97.69,5
04无排行无提醒,粤B0Y92H,2019/12/1,93.49,6
01有排行有提醒,粤BT2220,2019/12/1,92.07,7
04无排行无提醒,粤BP439V,2019/12/1,89.88,8
02有排行无提醒,粤B9XN26,2019/12/1,89.58,9
01有排行有提醒,粤B2K335,2019/12/1,87.69,10
01有排行有提醒,粤B3R80W,2019/12/1,87.56,11
03无排行有提醒,粤STC809,2019/12/1,86.67,12
01有排行有提醒,皖AT0619,2019/12/1,80.7,13
04无排行无提醒,粤STB959,2019/12/1,77.13,14
01有排行有提醒,粤L39ES3,2019/12/1,76.88,15
02有排行无提醒,皖AT0580,2019/12/1,66.33,16
02有排行无提醒,皖AT0620,2019/12/1,63.54,17
03无排行有提醒,皖AT0621,2019/12/1,61.89,18
02有排行无提醒,皖AT0575,2019/12/1,50.68,19
01有排行有提醒,皖AT0600,2019/12/1,50.47,20
03无排行有提醒,皖AT0632,2019/12/1,46.4,21
01有排行有提醒,皖AT0553,2019/12/1,45.73,22
03无排行有提醒,皖AT0596,2019/12/1,45.08,23
01有排行有提醒,皖AT0650,2019/12/1,42.76,24
01有排行有提醒,皖AT0628,2019/12/1,41.15,25
04无排行无提醒,皖AT0661,2019/12/1,39.94,26
01有排行有提醒,皖AT0568,2019/12/1,39.5,27
04无排行无提醒,皖AT0658,2019/12/1,38.27,28
04无排行无提醒,皖AT0560,2019/12/1,37.87,29
03无排行有提醒,皖AT0579,2019/12/1,34.06,30
02有排行无提醒,皖AT0613,2019/12/1,33.6,31
03无排行有提醒,皖AT0633,2019/12/1,33.17,32
03无排行有提醒,皖AT0589,2019/12/1,29.98,33
03无排行有提醒,皖AT0631,2019/12/1,28.47,34
02有排行无提醒,皖AT0657,2019/12/1,27.4,35
02有排行无提醒,皖AT0641,2019/12/1,27.02,36
03无排行有提醒,皖AT0539,2019/12/1,22.01,37
02有排行无提醒,皖AT0541,2019/12/1,20.11,38
01有排行有提醒,皖AT0665,2019/12/1,19.82,39
02有排行无提醒,皖AT0601,2019/12/1,19.63,40
03无排行有提醒,皖AT0591,2019/12/1,19.35,41
04无排行无提醒,皖AT0540,2019/12/1,10.89,42
04无排行无提醒,皖AT0565,2019/12/1,6.44,43
01有排行有提醒,皖AT0547,2019/12/1,1.33,44
02有排行无提醒,皖AT0576,2019/12/1,0.63,45
01有排行有提醒,粤B048RX,2019/12/1,0,46
03无排行有提醒,粤TEST01,2019/12/1,0,46
01有排行有提醒,皖AT0609,2019/12/1,0,46
04无排行无提醒,皖AT0556,2019/12/1,0,46
03无排行有提醒,皖AT0563,2019/12/1,0,46
01有排行有提醒,皖AT0642,2019/12/1,0,46
02有排行无提醒,粤BN8G52,2019/12/1,0,46
03无排行有提醒,粤BS207S,2019/12/1,0,46
04无排行无提醒,皖AT0623,2019/12/1,0,46
04无排行无提醒,皖AT0666,2019/12/1,0,46
03无排行有提醒,皖AT0549,2019/12/1,0,46
02有排行无提醒,闽C88DN2,2019/12/2,100,1
03无排行有提醒,粤B533CJ,2019/12/2,100,1
04无排行无提醒,粤B3RC91,2019/12/2,100,1
