部门,车牌号,日期,驾驶行为评分,排名
03无排行有提醒,皖AT0539,2020/1/1,100,1
02有排行无提醒,粤B9XN26,2020/1/1,100,1
04无排行无提醒,粤S09158,2020/1/1,100,1
03无排行有提醒,粤BY1047,2020/1/1,100,1
04无排行无提醒,粤PR5795,2020/1/1,100,1
01有排行有提醒,粤B2K335,2020/1/1,100,1
04无排行无提醒,粤BP439V,2020/1/1,100,1
03无排行有提醒,渝D865V3,2020/1/1,100,1
02有排行无提醒,粤B7U0H5,2020/1/1,100,1
04无排行无提醒,粤B0Y92H,2020/1/1,100,1
03无排行有提醒,粤B892VK,2020/1/1,100,1
02有排行无提醒,粤BL05M1,2020/1/1,100,1
04无排行无提醒,粤B83CT2,2020/1/1,100,1
02有排行无提醒,粤SL3H57,2020/1/1,100,1
03无排行有提醒,皖AT0632,2020/1/1,100,1
04无排行无提醒,皖AT0616,2020/1/1,100,1
02有排行无提醒,皖AT0543,2020/1/1,100,1
03无排行有提醒,粤B2X562,2020/1/1,100,1
01有排行有提醒,粤BH218W,2020/1/1,100,1
04无排行无提醒,粤B4C0S6,2020/1/1,100,1
02有排行无提醒,闽C88DN2,2020/1/1,100,1
01有排行有提醒,皖AT0626,2020/1/1,100,1
01有排行有提醒,皖AT0642,2020/1/1,100,1
02有排行无提醒,皖AYY059,2020/1/1,100,1
01有排行有提醒,粤BT2220,2020/1/1,100,1
01有排行有提醒,粤LBY602,2020/1/1,100,1
03无排行有提醒,粤B533CJ,2020/1/1,100,1
04无排行无提醒,粤B3RC91,2020/1/1,100,1
01有排行有提醒,粤S45B27,2020/1/1,100,1
03无排行有提醒,粤B3AU48,2020/1/1,100,1
02有排行无提醒,粤JCL629,2020/1/1,93.52,2
01有排行有提醒,皖AT0619,2020/1/1,93.42,3
01有排行有提醒,粤L39ES3,2020/1/1,92.78,4
03无排行有提醒,粤BS207S,2020/1/1,90.06,5
01有排行有提醒,粤B3R80W,2020/1/1,89.63,6
02有排行无提醒,皖AT0620,2020/1/1,85.97,7
02有排行无提醒,粤B3Q03K,2020/1/1,85.2,8
03无排行有提醒,粤STC809,2020/1/1,82.97,9
04无排行无提醒,粤STB959,2020/1/1,78.8,10
01有排行有提醒,皖AT0650,2020/1/1,59.26,11
02有排行无提醒,皖AT0580,2020/1/1,57.26,12
03无排行有提醒,皖AT0589,2020/1/1,53.46,13
03无排行有提醒,皖AT0579,2020/1/1,52.06,14
02有排行无提醒,皖AT0613,2020/1/1,51.38,15
04无排行无提醒,皖AT0661,2020/1/1,48.88,16
03无排行有提醒,皖AT0596,2020/1/1,47.38,17
03无排行有提醒,皖AT0633,2020/1/1,45.75,18
02有排行无提醒,皖AT0601,2020/1/1,44.99,19
01有排行有提醒,皖AT0568,2020/1/1,42.21,20
01有排行有提醒,皖AT0553,2020/1/1,41.44,21
01有排行有提醒,皖AT0599,2020/1/1,40.92,22
03无排行有提醒,皖AT0621,2020/1/1,40.56,23
01有排行有提醒,皖AT0628,2020/1/1,39.51,24
02有排行无提醒,皖AT0575,2020/1/1,37.34,25
02有排行无提醒,皖AT0657,2020/1/1,37.17,26
04无排行无提醒,皖AT0658,2020/1/1,36.7,27
04无排行无提醒,皖AT0540,2020/1/1,36.48,28
01有排行有提醒,皖AT0547,2020/1/1,36.13,29
04无排行无提醒,皖AT0608,2020/1/1,34.88,30
01有排行有提醒,皖AT0665,2020/1/1,34.15,31
02有排行无提醒,皖AT0541,2020/1/1,33.28,32
03无排行有提醒,皖AT0563,2020/1/1,32.56,33
04无排行无提醒,皖AT0666,2020/1/1,32.42,34
01有排行有提醒,皖AT0600,2020/1/1,31.91,35
03无排行有提醒,皖AT0549,2020/1/1,31.9,36
03无排行有提醒,皖AT0591,2020/1/1,31.79,37
03无排行有提醒,皖AT0631,2020/1/1,30.01,38
02有排行无提醒,皖AT0576,2020/1/1,29.46,39
04无排行无提醒,皖AT0565,2020/1/1,27.26,40
04无排行无提醒,皖AT0560,2020/1/1,19.96,41
04无排行无提醒,皖AT0623,2020/1/1,15.51,42
03无排行有提醒,粤TEST01,2020/1/1,0,43
01有排行有提醒,皖AT0609,2020/1/1,0,43
01有排行有提醒,粤B048RX,2020/1/1,0,43
04无排行无提醒,皖AT0556,2020/1/1,0,43
02有排行无提醒,粤BN8G52,2020/1/1,0,43
02有排行无提醒,皖AT0641,2020/1/1,0,43
03无排行有提醒,皖AT0539,2020/1/2,100,1
01有排行有提醒,粤BH218W,2020/1/2,100,1
04无排行无提醒,粤S09158,2020/1/2,100,1
03无排行有提醒,皖AT0632,2020/1/2,100,1
03无排行有提醒,粤BY1047,2020/1/2,100,1
04无排行无提醒,粤PR5795,2020/1/2,100,1
01有排行有提醒,粤B2K335,2020/1/2,100,1
04无排行无提醒,皖AT0616,2020/1/2,100,1
03无排行有提醒,渝D865V3,2020/1/2,100,1
