部门,车牌号,日期,驾驶行为评分
03无排行有提醒,粤TEST01,2020/8/2,0
01有排行有提醒,粤B048RX,2020/8/2,0
01有排行有提醒,皖AT0609,2020/8/2,0
02有排行无提醒,粤BN8G52,2020/8/2,0
04无排行无提醒,皖AT0556,2020/8/2,0
02有排行无提醒,皖AT0641,2020/8/2,0
04无排行无提醒,皖AT0608,2020/8/2,-18.72
02有排行无提醒,皖AT0580,2020/8/3,100
03无排行有提醒,皖AT0633,2020/8/3,100
02有排行无提醒,皖AT0576,2020/8/3,100
02有排行无提醒,粤SL3H57,2020/8/3,100
03无排行有提醒,粤BS207S,2020/8/3,100
04无排行无提醒,粤B83CT2,2020/8/3,100
02有排行无提醒,粤BL05M1,2020/8/3,100
03无排行有提醒,粤B892VK,2020/8/3,100
04无排行无提醒,粤B0Y92H,2020/8/3,100
02有排行无提醒,粤B7U0H5,2020/8/3,100
03无排行有提醒,渝D865V3,2020/8/3,100
01有排行有提醒,粤L39ES3,2020/8/3,100
02有排行无提醒,皖AT0543,2020/8/3,100
03无排行有提醒,皖AT0549,2020/8/3,100
01有排行有提醒,皖AT0619,2020/8/3,100
04无排行无提醒,皖AT0666,2020/8/3,100
02有排行无提醒,皖AT0575,2020/8/3,100
03无排行有提醒,皖AT0589,2020/8/3,100
01有排行有提醒,皖AT0547,2020/8/3,100
04无排行无提醒,皖AT0616,2020/8/3,100
03无排行有提醒,皖AT0539,2020/8/3,100
01有排行有提醒,皖AT0600,2020/8/3,100
04无排行无提醒,皖AT0661,2020/8/3,100
03无排行有提醒,皖AT0579,2020/8/3,100
04无排行无提醒,皖AT0560,2020/8/3,100
04无排行无提醒,粤BP439V,2020/8/3,100
03无排行有提醒,粤STC809,2020/8/3,100
03无排行有提醒,粤B533CJ,2020/8/3,100
01有排行有提醒,皖AT0626,2020/8/3,100
01有排行有提醒,粤S45B27,2020/8/3,100
02有排行无提醒,粤B3Q03K,2020/8/3,100
02有排行无提醒,粤JCL629,2020/8/3,100
03无排行有提醒,粤B3AU48,2020/8/3,100
01有排行有提醒,粤LBY602,2020/8/3,100
04无排行无提醒,粤STB959,2020/8/3,100
02有排行无提醒,闽C88DN2,2020/8/3,100
04无排行无提醒,粤B3RC91,2020/8/3,100
01有排行有提醒,粤B2K335,2020/8/3,100
04无排行无提醒,粤PR5795,2020/8/3,100
03无排行有提醒,粤BY1047,2020/8/3,100
01有排行有提醒,粤B3R80W,2020/8/3,100
03无排行有提醒,粤B2X562,2020/8/3,100
04无排行无提醒,粤S09158,2020/8/3,100
02有排行无提醒,粤B9XN26,2020/8/3,100
02有排行无提醒,皖AYY059,2020/8/3,100
01有排行有提醒,粤BH218W,2020/8/3,100
04无排行无提醒,粤B4C0S6,2020/8/3,100
01有排行有提醒,皖AT0642,2020/8/3,89.82
01有排行有提醒,粤BT2220,2020/8/3,86.01
03无排行有提醒,皖AT0563,2020/8/3,71.79
02有排行无提醒,皖AT0620,2020/8/3,68.77
02有排行无提醒,皖AT0613,2020/8/3,66.84
03无排行有提醒,皖AT0632,2020/8/3,61.3
04无排行无提醒,皖AT0623,2020/8/3,57.18
04无排行无提醒,皖AT0658,2020/8/3,56.44
01有排行有提醒,皖AT0650,2020/8/3,54.1
03无排行有提醒,皖AT0621,2020/8/3,54.05
01有排行有提醒,皖AT0599,2020/8/3,53.84
03无排行有提醒,皖AT0596,2020/8/3,52
03无排行有提醒,皖AT0591,2020/8/3,51.48
02有排行无提醒,皖AT0541,2020/8/3,48.99
02有排行无提醒,皖AT0657,2020/8/3,43.85
02有排行无提醒,皖AT0601,2020/8/3,34.19
01有排行有提醒,皖AT0665,2020/8/3,33.33
03无排行有提醒,皖AT0631,2020/8/3,31.63
04无排行无提醒,皖AT0540,2020/8/3,29.8
01有排行有提醒,皖AT0553,2020/8/3,28.99
01有排行有提醒,皖AT0568,2020/8/3,28.15
01有排行有提醒,皖AT0628,2020/8/3,27.59
04无排行无提醒,皖AT0565,2020/8/3,23.01
04无排行无提醒,皖AT0608,2020/8/3,10.66
02有排行无提醒,粤BN8G52,2020/8/3,0
04无排行无提醒,皖AT0556,2020/8/3,0
03无排行有提醒,粤TEST01,2020/8/3,0
01有排行有提醒,皖AT0609,2020/8/3,0
01有排行有提醒,粤B048RX,2020/8/3,0
02有排行无提醒,皖AT0641,2020/8/3,0
02有排行无提醒,皖AT0580,2020/8/4,100
03无排行有提醒,皖AT0633,2020/8/4,100
02有排行无提醒,皖AT0576,2020/8/4,100
02有排行无提醒,粤SL3H57,2020/8/4,100
03无排行有提醒,粤BS207S,2020/8/4,100
04无排行无提醒,粤B83CT2,2020/8/4,100
02有排行无提醒,粤BL05M1,2020/8/4,100
03无排行有提醒,粤B892VK,2020/8/4,100
04无排行无提醒,粤B0Y92H,2020/8/4,100
02有排行无提醒,粤B7U0H5,2020/8/4,100
03无排行有提醒,渝D865V3,2020/8/4,100
01有排行有提醒,粤L39ES3,2020/8/4,100
02有排行无提醒,皖AT0543,2020/8/4,100
03无排行有提醒,皖AT0549,2020/8/4,100
01有排行有提醒,皖AT0619,2020/8/4,100
04无排行无提醒,皖AT0666,2020/8/4,100
02有排行无提醒,皖AT0575,2020/8/4,100
03无排行有提醒,皖AT0589,2020/8/4,100
01有排行有提醒,皖AT0547,2020/8/4,100
04无排行无提醒,皖AT0616,2020/8/4,100
03无排行有提醒,皖AT0539,2020/8/4,100
01有排行有提醒,皖AT0600,2020/8/4,100
04无排行无提醒,皖AT0661,2020/8/4,100
03无排行有提醒,皖AT0579,2020/8/4,100
04无排行无提醒,皖AT0560,2020/8/4,100
04无排行无提醒,粤BP439V,2020/8/4,100
03无排行有提醒,粤STC809,2020/8/4,100
03无排行有提醒,粤B533CJ,2020/8/4,100
01有排行有提醒,皖AT0626,2020/8/4,100
01有排行有提醒,粤S45B27,2020/8/4,100
02有排行无提醒,粤B3Q03K,2020/8/4,100
02有排行无提醒,粤JCL629,2020/8/4,100
03无排行有提醒,粤B3AU48,2020/8/4,100
01有排行有提醒,粤LBY602,2020/8/4,100
04无排行无提醒,粤STB959,2020/8/4,100
02有排行无提醒,闽C88DN2,2020/8/4,100
04无排行无提醒,粤B3RC91,2020/8/4,100
01有排行有提醒,粤B2K335,2020/8/4,100
04无排行无提醒,粤PR5795,2020/8/4,100
03无排行有提醒,粤BY1047,2020/8/4,100
01有排行有提醒,粤B3R80W,2020/8/4,100
03无排行有提醒,粤B2X562,2020/8/4,100
04无排行无提醒,粤S09158,2020/8/4,100
02有排行无提醒,粤B9XN26,2020/8/4,100
02有排行无提醒,皖AYY059,2020/8/4,100
01有排行有提醒,粤BH218W,2020/8/4,100
04无排行无提醒,粤B4C0S6,2020/8/4,100
01有排行有提醒,皖AT0642,2020/8/4,90.93
01有排行有提醒,粤BT2220,2020/8/4,79.3
04无排行无提醒,皖AT0658,2020/8/4,65.37
02有排行无提醒,皖AT0657,2020/8/4,64.27
02有排行无提醒,皖AT0613,2020/8/4,57.99
01有排行有提醒,皖AT0599,2020/8/4,57.39
03无排行有提醒,皖AT0621,2020/8/4,55.94
01有排行有提醒,皖AT0650,2020/8/4,53.73
03无排行有提醒,皖AT0596,2020/8/4,52.2
02有排行无提醒,皖AT0541,2020/8/4,51.78
03无排行有提醒,皖AT0563,2020/8/4,50.07
03无排行有提醒,皖AT0632,2020/8/4,47.27
02有排行无提醒,皖AT0601,2020/8/4,41.57
01有排行有提醒,皖AT0665,2020/8/4,39.81
04无排行无提醒,皖AT0540,2020/8/4,38.67
02有排行无提醒,皖AT0620,2020/8/4,32.66
01有排行有提醒,皖AT0568,2020/8/4,31.85
03无排行有提醒,皖AT0631,2020/8/4,31.42
04无排行无提醒,皖AT0565,2020/8/4,26.17
04无排行无提醒,皖AT0623,2020/8/4,25.96
04无排行无提醒,皖AT0608,2020/8/4,24.97
03无排行有提醒,皖AT0591,2020/8/4,24.89
01有排行有提醒,皖AT0553,2020/8/4,18.72
01有排行有提醒,皖AT0628,2020/8/4,15.34
04无排行无提醒,皖AT0556,2020/8/4,0
03无排行有提醒,粤TEST01,2020/8/4,0
02有排行无提醒,粤BN8G52,2020/8/4,0
01有排行有提醒,皖AT0609,2020/8/4,0
01有排行有提醒,粤B048RX,2020/8/4,0
02有排行无提醒,皖AT0641,2020/8/4,0
02有排行无提醒,皖AT0580,2020/8/5,100
03无排行有提醒,皖AT0633,2020/8/5,100
02有排行无提醒,皖AT0576,2020/8/5,100
02有排行无提醒,粤SL3H57,2020/8/5,100
03无排行有提醒,粤BS207S,2020/8/5,100
04无排行无提醒,粤B83CT2,2020/8/5,100
02有排行无提醒,粤BL05M1,2020/8/5,100
03无排行有提醒,粤B892VK,2020/8/5,100
04无排行无提醒,粤B0Y92H,2020/8/5,100
02有排行无提醒,粤B7U0H5,2020/8/5,100
03无排行有提醒,渝D865V3,2020/8/5,100
01有排行有提醒,粤L39ES3,2020/8/5,100
02有排行无提醒,皖AT0543,2020/8/5,100
03无排行有提醒,皖AT0549,2020/8/5,100
04无排行无提醒,皖AT0560,2020/8/5,100
01有排行有提醒,皖AT0619,2020/8/5,100
04无排行无提醒,皖AT0666,2020/8/5,100
02有排行无提醒,皖AT0575,2020/8/5,100
03无排行有提醒,皖AT0589,2020/8/5,100
01有排行有提醒,皖AT0547,2020/8/5,100
04无排行无提醒,皖AT0616,2020/8/5,100
03无排行有提醒,皖AT0563,2020/8/5,100
03无排行有提醒,皖AT0539,2020/8/5,100
01有排行有提醒,皖AT0600,2020/8/5,100
04无排行无提醒,皖AT0661,2020/8/5,100
03无排行有提醒,皖AT0579,2020/8/5,100
04无排行无提醒,粤BP439V,2020/8/5,100
04无排行无提醒,粤B3RC91,2020/8/5,100
02有排行无提醒,粤JCL629,2020/8/5,100
03无排行有提醒,粤B3AU48,2020/8/5,100
02有排行无提醒,皖AYY059,2020/8/5,100
01有排行有提醒,粤LBY602,2020/8/5,100
04无排行无提醒,粤B4C0S6,2020/8/5,100
02有排行无提醒,闽C88DN2,2020/8/5,100
04无排行无提醒,粤STB959,2020/8/5,100
02有排行无提醒,粤B3Q03K,2020/8/5,100
01有排行有提醒,皖AT0626,2020/8/5,100
01有排行有提醒,粤S45B27,2020/8/5,100
03无排行有提醒,粤B533CJ,2020/8/5,100
03无排行有提醒,粤BY1047,2020/8/5,100
04无排行无提醒,粤PR5795,2020/8/5,100
01有排行有提醒,粤B3R80W,2020/8/5,100
02有排行无提醒,粤B9XN26,2020/8/5,100
04无排行无提醒,粤S09158,2020/8/5,100
01有排行有提醒,粤B2K335,2020/8/5,100
01有排行有提醒,粤BH218W,2020/8/5,100
03无排行有提醒,粤B2X562,2020/8/5,100
03无排行有提醒,粤STC809,2020/8/5,100
01有排行有提醒,粤BT2220,2020/8/5,89.5
01有排行有提醒,皖AT0642,2020/8/5,88.61
02有排行无提醒,皖AT0620,2020/8/5,82.49
04无排行无提醒,皖AT0658,2020/8/5,59.95
03无排行有提醒,皖AT0621,2020/8/5,52.72
03无排行有提醒,皖AT0632,2020/8/5,47.65
02有排行无提醒,皖AT0657,2020/8/5,43.23
04无排行无提醒,皖AT0540,2020/8/5,43.19
03无排行有提醒,皖AT0596,2020/8/5,41.86
01有排行有提醒,皖AT0650,2020/8/5,41.65
04无排行无提醒,皖AT0565,2020/8/5,41.62
02有排行无提醒,皖AT0601,2020/8/5,39.4
02有排行无提醒,皖AT0541,2020/8/5,38.05
01有排行有提醒,皖AT0568,2020/8/5,38.05
01有排行有提醒,皖AT0599,2020/8/5,36
02有排行无提醒,皖AT0613,2020/8/5,33.41
01有排行有提醒,皖AT0665,2020/8/5,25.83
03无排行有提醒,皖AT0591,2020/8/5,25.23
01有排行有提醒,皖AT0628,2020/8/5,20.19
04无排行无提醒,皖AT0608,2020/8/5,17.82
01有排行有提醒,皖AT0553,2020/8/5,16.7
03无排行有提醒,皖AT0631,2020/8/5,16.65
04无排行无提醒,皖AT0623,2020/8/5,14.38
01有排行有提醒,粤B048RX,2020/8/5,0
03无排行有提醒,粤TEST01,2020/8/5,0
02有排行无提醒,粤BN8G52,2020/8/5,0
01有排行有提醒,皖AT0609,2020/8/5,0
04无排行无提醒,皖AT0556,2020/8/5,0
02有排行无提醒,皖AT0641,2020/8/5,0
02有排行无提醒,皖AT0580,2020/8/6,100
03无排行有提醒,皖AT0633,2020/8/6,100
02有排行无提醒,皖AT0576,2020/8/6,100
02有排行无提醒,粤SL3H57,2020/8/6,100
03无排行有提醒,粤BS207S,2020/8/6,100
04无排行无提醒,粤B83CT2,2020/8/6,100
03无排行有提醒,粤B892VK,2020/8/6,100
04无排行无提醒,粤B0Y92H,2020/8/6,100
02有排行无提醒,粤B7U0H5,2020/8/6,100
03无排行有提醒,渝D865V3,2020/8/6,100
01有排行有提醒,粤L39ES3,2020/8/6,100
04无排行无提醒,粤BP439V,2020/8/6,100
02有排行无提醒,皖AT0543,2020/8/6,100
03无排行有提醒,皖AT0549,2020/8/6,100
01有排行有提醒,皖AT0619,2020/8/6,100
04无排行无提醒,皖AT0666,2020/8/6,100
02有排行无提醒,皖AT0575,2020/8/6,100
03无排行有提醒,皖AT0589,2020/8/6,100
01有排行有提醒,皖AT0547,2020/8/6,100
04无排行无提醒,皖AT0616,2020/8/6,100
03无排行有提醒,皖AT0539,2020/8/6,100
01有排行有提醒,皖AT0600,2020/8/6,100
04无排行无提醒,皖AT0661,2020/8/6,100
03无排行有提醒,皖AT0579,2020/8/6,100
04无排行无提醒,皖AT0560,2020/8/6,100
03无排行有提醒,粤STC809,2020/8/6,100
03无排行有提醒,粤B2X562,2020/8/6,100
02有排行无提醒,粤JCL629,2020/8/6,100
03无排行有提醒,粤B3AU48,2020/8/6,100
01有排行有提醒,粤LBY602,2020/8/6,100
01有排行有提醒,皖AT0626,2020/8/6,100
04无排行无提醒,粤B4C0S6,2020/8/6,100
02有排行无提醒,闽C88DN2,2020/8/6,100
04无排行无提醒,粤STB959,2020/8/6,100
02有排行无提醒,粤B3Q03K,2020/8/6,100
02有排行无提醒,皖AYY059,2020/8/6,100
01有排行有提醒,粤S45B27,2020/8/6,100
03无排行有提醒,粤B533CJ,2020/8/6,100
03无排行有提醒,粤BY1047,2020/8/6,100
01有排行有提醒,粤B3R80W,2020/8/6,100
04无排行无提醒,粤PR5795,2020/8/6,100
04无排行无提醒,粤S09158,2020/8/6,100
02有排行无提醒,粤B9XN26,2020/8/6,100
01有排行有提醒,粤BH218W,2020/8/6,100
01有排行有提醒,粤B2K335,2020/8/6,100
04无排行无提醒,粤B3RC91,2020/8/6,100
01有排行有提醒,皖AT0642,2020/8/6,88.35
01有排行有提醒,粤BT2220,2020/8/6,87.57
02有排行无提醒,粤BL05M1,2020/8/6,82.54
02有排行无提醒,皖AT0541,2020/8/6,66.91
02有排行无提醒,皖AT0657,2020/8/6,61.09
03无排行有提醒,皖AT0621,2020/8/6,60.53
04无排行无提醒,皖AT0658,2020/8/6,60.1
03无排行有提醒,皖AT0632,2020/8/6,58.93
03无排行有提醒,皖AT0596,2020/8/6,57.5
02有排行无提醒,皖AT0620,2020/8/6,48.26
03无排行有提醒,皖AT0563,2020/8/6,45.74
04无排行无提醒,皖AT0565,2020/8/6,43.8
04无排行无提醒,皖AT0540,2020/8/6,42.96
01有排行有提醒,皖AT0650,2020/8/6,42.3
03无排行有提醒,皖AT0631,2020/8/6,41.45
02有排行无提醒,皖AT0601,2020/8/6,39.21
01有排行有提醒,皖AT0553,2020/8/6,37.53
02有排行无提醒,皖AT0613,2020/8/6,35.67
04无排行无提醒,皖AT0623,2020/8/6,35.16
01有排行有提醒,皖AT0599,2020/8/6,33.21
01有排行有提醒,皖AT0568,2020/8/6,31.65
01有排行有提醒,皖AT0665,2020/8/6,26.74
03无排行有提醒,皖AT0591,2020/8/6,13.13
01有排行有提醒,皖AT0628,2020/8/6,12.49
04无排行无提醒,皖AT0608,2020/8/6,11.7
01有排行有提醒,粤B048RX,2020/8/6,0
04无排行无提醒,皖AT0556,2020/8/6,0
03无排行有提醒,粤TEST01,2020/8/6,0
01有排行有提醒,皖AT0609,2020/8/6,0
02有排行无提醒,粤BN8G52,2020/8/6,0
02有排行无提醒,皖AT0641,2020/8/6,0
02有排行无提醒,皖AT0580,2020/8/7,100
03无排行有提醒,皖AT0633,2020/8/7,100
02有排行无提醒,皖AT0576,2020/8/7,100
02有排行无提醒,粤SL3H57,2020/8/7,100
03无排行有提醒,粤BS207S,2020/8/7,100
04无排行无提醒,粤B83CT2,2020/8/7,100
03无排行有提醒,粤B892VK,2020/8/7,100
04无排行无提醒,粤B0Y92H,2020/8/7,100
02有排行无提醒,粤B7U0H5,2020/8/7,100
03无排行有提醒,渝D865V3,2020/8/7,100
01有排行有提醒,粤L39ES3,2020/8/7,100
04无排行无提醒,粤BP439V,2020/8/7,100
02有排行无提醒,皖AT0543,2020/8/7,100
03无排行有提醒,皖AT0549,2020/8/7,100
01有排行有提醒,皖AT0619,2020/8/7,100
04无排行无提醒,皖AT0666,2020/8/7,100
02有排行无提醒,皖AT0575,2020/8/7,100
03无排行有提醒,皖AT0589,2020/8/7,100
01有排行有提醒,皖AT0547,2020/8/7,100
04无排行无提醒,皖AT0616,2020/8/7,100
03无排行有提醒,皖AT0539,2020/8/7,100
01有排行有提醒,皖AT0600,2020/8/7,100
04无排行无提醒,皖AT0661,2020/8/7,100
03无排行有提醒,皖AT0579,2020/8/7,100
04无排行无提醒,皖AT0560,2020/8/7,100
03无排行有提醒,粤STC809,2020/8/7,100
03无排行有提醒,粤B2X562,2020/8/7,100
02有排行无提醒,粤JCL629,2020/8/7,100
03无排行有提醒,粤B3AU48,2020/8/7,100
01有排行有提醒,粤LBY602,2020/8/7,100
01有排行有提醒,皖AT0626,2020/8/7,100
04无排行无提醒,粤B4C0S6,2020/8/7,100
02有排行无提醒,闽C88DN2,2020/8/7,100
04无排行无提醒,粤STB959,2020/8/7,100
02有排行无提醒,粤B3Q03K,2020/8/7,100
02有排行无提醒,皖AYY059,2020/8/7,100
01有排行有提醒,粤S45B27,2020/8/7,100
03无排行有提醒,粤B533CJ,2020/8/7,100
03无排行有提醒,粤BY1047,2020/8/7,100
01有排行有提醒,粤B3R80W,2020/8/7,100
04无排行无提醒,粤S09158,2020/8/7,100
02有排行无提醒,粤B9XN26,2020/8/7,100
04无排行无提醒,粤PR5795,2020/8/7,100
01有排行有提醒,粤B2K335,2020/8/7,100
04无排行无提醒,粤B3RC91,2020/8/7,100
01有排行有提醒,粤BH218W,2020/8/7,100
02有排行无提醒,粤BL05M1,2020/8/7,93.55
01有排行有提醒,皖AT0642,2020/8/7,90.07
01有排行有提醒,粤BT2220,2020/8/7,89.71
04无排行无提醒,皖AT0658,2020/8/7,84.02
02有排行无提醒,皖AT0541,2020/8/7,70.32
03无排行有提醒,皖AT0621,2020/8/7,60
01有排行有提醒,皖AT0568,2020/8/7,53.9
03无排行有提醒,皖AT0563,2020/8/7,49.92
02有排行无提醒,皖AT0601,2020/8/7,49.46
01有排行有提醒,皖AT0665,2020/8/7,47.53
01有排行有提醒,皖AT0599,2020/8/7,42.62
01有排行有提醒,皖AT0553,2020/8/7,42.3
03无排行有提醒,皖AT0632,2020/8/7,37.72
01有排行有提醒,皖AT0650,2020/8/7,36.91
03无排行有提醒,皖AT0596,2020/8/7,34.76
03无排行有提醒,皖AT0591,2020/8/7,32.94
02有排行无提醒,皖AT0657,2020/8/7,32.64
04无排行无提醒,皖AT0540,2020/8/7,32.05
02有排行无提醒,皖AT0620,2020/8/7,28.21
03无排行有提醒,皖AT0631,2020/8/7,28.17
02有排行无提醒,皖AT0613,2020/8/7,26.45
04无排行无提醒,皖AT0623,2020/8/7,23.88
01有排行有提醒,皖AT0628,2020/8/7,19.11
04无排行无提醒,皖AT0608,2020/8/7,17.96
04无排行无提醒,皖AT0565,2020/8/7,16.73
01有排行有提醒,皖AT0609,2020/8/7,0
01有排行有提醒,粤B048RX,2020/8/7,0
04无排行无提醒,皖AT0556,2020/8/7,0
03无排行有提醒,粤TEST01,2020/8/7,0
02有排行无提醒,粤BN8G52,2020/8/7,0
02有排行无提醒,皖AT0641,2020/8/7,0
02有排行无提醒,皖AT0580,2020/8/8,100
03无排行有提醒,皖AT0633,2020/8/8,100
02有排行无提醒,皖AT0576,2020/8/8,100
02有排行无提醒,粤SL3H57,2020/8/8,100
03无排行有提醒,粤BS207S,2020/8/8,100
04无排行无提醒,粤B83CT2,2020/8/8,100
03无排行有提醒,粤B892VK,2020/8/8,100
04无排行无提醒,粤B0Y92H,2020/8/8,100
02有排行无提醒,粤B7U0H5,2020/8/8,100
03无排行有提醒,渝D865V3,2020/8/8,100
01有排行有提醒,粤L39ES3,2020/8/8,100
04无排行无提醒,粤BP439V,2020/8/8,100
02有排行无提醒,皖AT0543,2020/8/8,100
03无排行有提醒,皖AT0549,2020/8/8,100
01有排行有提醒,皖AT0619,2020/8/8,100
04无排行无提醒,皖AT0666,2020/8/8,100
02有排行无提醒,皖AT0575,2020/8/8,100
03无排行有提醒,皖AT0589,2020/8/8,100
01有排行有提醒,皖AT0547,2020/8/8,100
04无排行无提醒,皖AT0616,2020/8/8,100
03无排行有提醒,皖AT0539,2020/8/8,100
01有排行有提醒,皖AT0600,2020/8/8,100
04无排行无提醒,皖AT0661,2020/8/8,100
03无排行有提醒,皖AT0579,2020/8/8,100
04无排行无提醒,皖AT0560,2020/8/8,100
03无排行有提醒,粤STC809,2020/8/8,100
03无排行有提醒,粤B2X562,2020/8/8,100
02有排行无提醒,粤JCL629,2020/8/8,100
03无排行有提醒,粤B3AU48,2020/8/8,100
01有排行有提醒,粤LBY602,2020/8/8,100
01有排行有提醒,皖AT0626,2020/8/8,100
04无排行无提醒,粤B4C0S6,2020/8/8,100
02有排行无提醒,闽C88DN2,2020/8/8,100
04无排行无提醒,粤STB959,2020/8/8,100
02有排行无提醒,粤B3Q03K,2020/8/8,100
02有排行无提醒,皖AYY059,2020/8/8,100
01有排行有提醒,粤S45B27,2020/8/8,100
03无排行有提醒,粤B533CJ,2020/8/8,100
03无排行有提醒,粤BY1047,2020/8/8,100
04无排行无提醒,粤S09158,2020/8/8,100
02有排行无提醒,粤B9XN26,2020/8/8,100
01有排行有提醒,粤B2K335,2020/8/8,100
04无排行无提醒,粤PR5795,2020/8/8,100
01有排行有提醒,粤B3R80W,2020/8/8,100
04无排行无提醒,粤B3RC91,2020/8/8,100
01有排行有提醒,粤BH218W,2020/8/8,100
01有排行有提醒,皖AT0642,2020/8/8,91.83
01有排行有提醒,粤BT2220,2020/8/8,89.45
02有排行无提醒,皖AT0541,2020/8/8,78.26
04无排行无提醒,皖AT0658,2020/8/8,76.87
03无排行有提醒,皖AT0563,2020/8/8,74.61
02有排行无提醒,皖AT0620,2020/8/8,67.74
02有排行无提醒,粤BL05M1,2020/8/8,62.29
02有排行无提醒,皖AT0657,2020/8/8,55.7
01有排行有提醒,皖AT0650,2020/8/8,54.65
03无排行有提醒,皖AT0596,2020/8/8,52.33
01有排行有提醒,皖AT0568,2020/8/8,48.83
01有排行有提醒,皖AT0599,2020/8/8,47.84
03无排行有提醒,皖AT0621,2020/8/8,47.57
02有排行无提醒,皖AT0613,2020/8/8,46.56
02有排行无提醒,皖AT0601,2020/8/8,43.46
03无排行有提醒,皖AT0631,2020/8/8,34.78
01有排行有提醒,皖AT0628,2020/8/8,33.95
04无排行无提醒,皖AT0565,2020/8/8,33.28
01有排行有提醒,皖AT0665,2020/8/8,29.55
01有排行有提醒,皖AT0553,2020/8/8,26.39
03无排行有提醒,皖AT0591,2020/8/8,19.74
04无排行无提醒,皖AT0608,2020/8/8,17.97
03无排行有提醒,皖AT0632,2020/8/8,17.77
04无排行无提醒,皖AT0540,2020/8/8,10.77
04无排行无提醒,皖AT0623,2020/8/8,5.8
02有排行无提醒,粤BN8G52,2020/8/8,0
01有排行有提醒,皖AT0609,2020/8/8,0
01有排行有提醒,粤B048RX,2020/8/8,0
04无排行无提醒,皖AT0556,2020/8/8,0
03无排行有提醒,粤TEST01,2020/8/8,0
02有排行无提醒,皖AT0641,2020/8/8,0
02有排行无提醒,皖AT0580,2020/8/9,100
02有排行无提醒,皖AT0543,2020/8/9,100
03无排行有提醒,皖AT0633,2020/8/9,100
02有排行无提醒,皖AT0576,2020/8/9,100
02有排行无提醒,粤SL3H57,2020/8/9,100
03无排行有提醒,粤BS207S,2020/8/9,100
04无排行无提醒,粤B83CT2,2020/8/9,100
03无排行有提醒,粤B892VK,2020/8/9,100
04无排行无提醒,粤B0Y92H,2020/8/9,100
02有排行无提醒,粤B7U0H5,2020/8/9,100
03无排行有提醒,渝D865V3,2020/8/9,100
01有排行有提醒,粤L39ES3,2020/8/9,100
03无排行有提醒,皖AT0549,2020/8/9,100
04无排行无提醒,皖AT0560,2020/8/9,100
03无排行有提醒,皖AT0579,2020/8/9,100
01有排行有提醒,皖AT0619,2020/8/9,100
04无排行无提醒,皖AT0666,2020/8/9,100
03无排行有提醒,皖AT0621,2020/8/9,100
02有排行无提醒,皖AT0575,2020/8/9,100
03无排行有提醒,皖AT0589,2020/8/9,100
02有排行无提醒,皖AT0657,2020/8/9,100
01有排行有提醒,皖AT0547,2020/8/9,100
04无排行无提醒,皖AT0616,2020/8/9,100
03无排行有提醒,皖AT0539,2020/8/9,100
01有排行有提醒,皖AT0600,2020/8/9,100
04无排行无提醒,皖AT0661,2020/8/9,100
04无排行无提醒,粤BP439V,2020/8/9,100
01有排行有提醒,粤BH218W,2020/8/9,100
02有排行无提醒,闽C88DN2,2020/8/9,100
03无排行有提醒,粤B533CJ,2020/8/9,100
01有排行有提醒,粤S45B27,2020/8/9,100
02有排行无提醒,粤JCL629,2020/8/9,100
02有排行无提醒,粤B3Q03K,2020/8/9,100
01有排行有提醒,皖AT0626,2020/8/9,100
03无排行有提醒,粤B3AU48,2020/8/9,100
01有排行有提醒,粤LBY602,2020/8/9,100
04无排行无提醒,粤B4C0S6,2020/8/9,100
04无排行无提醒,粤B3RC91,2020/8/9,100
02有排行无提醒,皖AYY059,2020/8/9,100
03无排行有提醒,粤STC809,2020/8/9,100
01有排行有提醒,粤B2K335,2020/8/9,100
04无排行无提醒,粤PR5795,2020/8/9,100
03无排行有提醒,粤BY1047,2020/8/9,100
01有排行有提醒,粤B3R80W,2020/8/9,100
04无排行无提醒,粤S09158,2020/8/9,100
02有排行无提醒,粤B9XN26,2020/8/9,100
03无排行有提醒,粤B2X562,2020/8/9,100
04无排行无提醒,粤STB959,2020/8/9,100
01有排行有提醒,皖AT0642,2020/8/9,90.54
01有排行有提醒,粤BT2220,2020/8/9,89.94
02有排行无提醒,粤BL05M1,2020/8/9,89.87
02有排行无提醒,皖AT0620,2020/8/9,80.65
01有排行有提醒,皖AT0650,2020/8/9,74.7
01有排行有提醒,皖AT0599,2020/8/9,64.22
02有排行无提醒,皖AT0601,2020/8/9,62.24
04无排行无提醒,皖AT0658,2020/8/9,59.7
03无排行有提醒,皖AT0596,2020/8/9,56.94
03无排行有提醒,皖AT0632,2020/8/9,56.09
03无排行有提醒,皖AT0563,2020/8/9,51.35
01有排行有提醒,皖AT0553,2020/8/9,49.23
03无排行有提醒,皖AT0631,2020/8/9,48.32
02有排行无提醒,皖AT0541,2020/8/9,38.28
01有排行有提醒,皖AT0628,2020/8/9,37.64
01有排行有提醒,皖AT0665,2020/8/9,34.36
01有排行有提醒,皖AT0568,2020/8/9,28.64
02有排行无提醒,皖AT0613,2020/8/9,26.63
04无排行无提醒,皖AT0623,2020/8/9,23.11
03无排行有提醒,皖AT0591,2020/8/9,18.18
04无排行无提醒,皖AT0540,2020/8/9,11.94
04无排行无提醒,皖AT0565,2020/8/9,8.22
04无排行无提醒,皖AT0608,2020/8/9,6.02
01有排行有提醒,皖AT0609,2020/8/9,0
