部门,车牌号,日期,驾驶行为评分,排名
04无排行无提醒,皖AT0565,2020/2/1,100,1
04无排行无提醒,皖AT0608,2020/2/1,100,1
01有排行有提醒,皖AT0628,2020/2/1,100,1
04无排行无提醒,皖AT0560,2020/2/1,100,1
03无排行有提醒,皖AT0549,2020/2/1,100,1
02有排行无提醒,皖AT0543,2020/2/1,100,1
03无排行有提醒,皖AT0633,2020/2/1,100,1
01有排行有提醒,皖AT0568,2020/2/1,100,1
01有排行有提醒,皖AT0553,2020/2/1,100,1
02有排行无提醒,粤SL3H57,2020/2/1,100,1
04无排行无提醒,粤B83CT2,2020/2/1,100,1
03无排行有提醒,粤B892VK,2020/2/1,100,1
04无排行无提醒,粤B0Y92H,2020/2/1,100,1
02有排行无提醒,粤B7U0H5,2020/2/1,100,1
02有排行无提醒,皖AT0620,2020/2/1,100,1
03无排行有提醒,皖AT0579,2020/2/1,100,1
01有排行有提醒,皖AT0642,2020/2/1,100,1
03无排行有提醒,皖AT0631,2020/2/1,100,1
01有排行有提醒,皖AT0619,2020/2/1,100,1
03无排行有提醒,皖AT0596,2020/2/1,100,1
04无排行无提醒,皖AT0666,2020/2/1,100,1
02有排行无提醒,皖AT0575,2020/2/1,100,1
03无排行有提醒,皖AT0632,2020/2/1,100,1
04无排行无提醒,皖AT0616,2020/2/1,100,1
03无排行有提醒,皖AT0563,2020/2/1,100,1
01有排行有提醒,皖AT0650,2020/2/1,100,1
03无排行有提醒,皖AT0539,2020/2/1,100,1
02有排行无提醒,皖AT0601,2020/2/1,100,1
01有排行有提醒,皖AT0600,2020/2/1,100,1
03无排行有提醒,渝D865V3,2020/2/1,100,1
01有排行有提醒,粤BT2220,2020/2/1,100,1
04无排行无提醒,粤B3RC91,2020/2/1,100,1
02有排行无提醒,粤B3Q03K,2020/2/1,100,1
03无排行有提醒,粤B533CJ,2020/2/1,100,1
01有排行有提醒,粤S45B27,2020/2/1,100,1
03无排行有提醒,粤B3AU48,2020/2/1,100,1
01有排行有提醒,粤LBY602,2020/2/1,100,1
04无排行无提醒,粤B4C0S6,2020/2/1,100,1
