部门,车牌号,日期,驾驶行为评分,排名
02有排行无提醒,皖AT0580,2020/9/1,100,1
02有排行无提醒,皖AT0543,2020/9/1,100,1
03无排行有提醒,皖AT0633,2020/9/1,100,1
02有排行无提醒,皖AT0576,2020/9/1,100,1
02有排行无提醒,粤SL3H57,2020/9/1,100,1
03无排行有提醒,粤BS207S,2020/9/1,100,1
04无排行无提醒,粤B83CT2,2020/9/1,100,1
03无排行有提醒,粤B892VK,2020/9/1,100,1
04无排行无提醒,粤B0Y92H,2020/9/1,100,1
02有排行无提醒,粤B7U0H5,2020/9/1,100,1
03无排行有提醒,渝D865V3,2020/9/1,100,1
01有排行有提醒,粤L39ES3,2020/9/1,100,1
03无排行有提醒,皖AT0549,2020/9/1,100,1
04无排行无提醒,皖AT0560,2020/9/1,100,1
01有排行有提醒,皖AT0619,2020/9/1,100,1
04无排行无提醒,皖AT0666,2020/9/1,100,1
02有排行无提醒,皖AT0575,2020/9/1,100,1
03无排行有提醒,皖AT0589,2020/9/1,100,1
02有排行无提醒,皖AT0657,2020/9/1,100,1
01有排行有提醒,皖AT0547,2020/9/1,100,1
04无排行无提醒,皖AT0616,2020/9/1,100,1
03无排行有提醒,皖AT0539,2020/9/1,100,1
01有排行有提醒,皖AT0600,2020/9/1,100,1
04无排行无提醒,皖AT0661,2020/9/1,100,1
03无排行有提醒,皖AT0579,2020/9/1,100,1
04无排行无提醒,粤BP439V,2020/9/1,100,1
03无排行有提醒,粤STC809,2020/9/1,100,1
04无排行无提醒,粤B3RC91,2020/9/1,100,1
03无排行有提醒,粤B533CJ,2020/9/1,100,1
02有排行无提醒,粤B3Q03K,2020/9/1,100,1
01有排行有提醒,粤S45B27,2020/9/1,100,1
02有排行无提醒,粤JCL629,2020/9/1,100,1
03无排行有提醒,粤B3AU48,2020/9/1,100,1
04无排行无提醒,粤STB959,2020/9/1,100,1
01有排行有提醒,皖AT0626,2020/9/1,100,1
02有排行无提醒,闽C88DN2,2020/9/1,100,1
04无排行无提醒,粤B4C0S6,2020/9/1,100,1
01有排行有提醒,粤BH218W,2020/9/1,100,1
01有排行有提醒,粤B2K335,2020/9/1,100,1
04无排行无提醒,粤PR5795,2020/9/1,100,1
03无排行有提醒,粤BY1047,2020/9/1,100,1
01有排行有提醒,粤B3R80W,2020/9/1,100,1
03无排行有提醒,粤B2X562,2020/9/1,100,1
04无排行无提醒,粤S09158,2020/9/1,100,1
02有排行无提醒,粤B9XN26,2020/9/1,100,1
02有排行无提醒,皖AYY059,2020/9/1,100,1
01有排行有提醒,粤LBY602,2020/9/1,100,1
02有排行无提醒,粤BL05M1,2020/9/1,99.39,2
01有排行有提醒,皖AT0642,2020/9/1,92.04,3
01有排行有提醒,粤BT2220,2020/9/1,88.07,4
02有排行无提醒,皖AT0541,2020/9/1,67.15,5
03无排行有提醒,皖AT0632,2020/9/1,62.82,6
02有排行无提醒,皖AT0601,2020/9/1,58.07,7
02有排行无提醒,皖AT0613,2020/9/1,54.6,8
01有排行有提醒,皖AT0599,2020/9/1,51.28,9
01有排行有提醒,皖AT0568,2020/9/1,50.78,10
03无排行有提醒,皖AT0596,2020/9/1,50.16,11
04无排行无提醒,皖AT0658,2020/9/1,49.03,12
01有排行有提醒,皖AT0665,2020/9/1,48.4,13
03无排行有提醒,皖AT0621,2020/9/1,48.13,14
04无排行无提醒,皖AT0565,2020/9/1,46.64,15
02有排行无提醒,皖AT0620,2020/9/1,45.13,16
01有排行有提醒,皖AT0650,2020/9/1,44.52,17
04无排行无提醒,皖AT0540,2020/9/1,34.89,18
03无排行有提醒,皖AT0591,2020/9/1,33.32,19
03无排行有提醒,皖AT0563,2020/9/1,30.67,20
01有排行有提醒,皖AT0628,2020/9/1,30,21
03无排行有提醒,皖AT0631,2020/9/1,29.29,22
01有排行有提醒,皖AT0553,2020/9/1,28.28,23
04无排行无提醒,皖AT0608,2020/9/1,27.49,24
04无排行无提醒,皖AT0623,2020/9/1,18.37,25
04无排行无提醒,皖AT0556,2020/9/1,0,26
03无排行有提醒,粤TEST01,2020/9/1,0,26
02有排行无提醒,粤BN8G52,2020/9/1,0,26
01有排行有提醒,皖AT0609,2020/9/1,0,26
