部门,车牌号,日期,驾驶行为评分,排名
02有排行无提醒,皖AT0580,2020/10/1,100,1
04无排行无提醒,皖AT0560,2020/10/1,100,1
03无排行有提醒,皖AT0549,2020/10/1,100,1
02有排行无提醒,皖AT0543,2020/10/1,100,1
03无排行有提醒,皖AT0633,2020/10/1,100,1
02有排行无提醒,皖AT0576,2020/10/1,100,1
02有排行无提醒,粤SL3H57,2020/10/1,100,1
03无排行有提醒,粤BS207S,2020/10/1,100,1
04无排行无提醒,粤B83CT2,2020/10/1,100,1
03无排行有提醒,粤B892VK,2020/10/1,100,1
04无排行无提醒,粤B0Y92H,2020/10/1,100,1
02有排行无提醒,粤B7U0H5,2020/10/1,100,1
03无排行有提醒,渝D865V3,2020/10/1,100,1
04无排行无提醒,皖AT0608,2020/10/1,100,1
03无排行有提醒,皖AT0579,2020/10/1,100,1
02有排行无提醒,皖AT0541,2020/10/1,100,1
01有排行有提醒,皖AT0619,2020/10/1,100,1
04无排行无提醒,皖AT0666,2020/10/1,100,1
02有排行无提醒,皖AT0575,2020/10/1,100,1
03无排行有提醒,皖AT0589,2020/10/1,100,1
02有排行无提醒,皖AT0657,2020/10/1,100,1
01有排行有提醒,皖AT0547,2020/10/1,100,1
04无排行无提醒,皖AT0616,2020/10/1,100,1
03无排行有提醒,皖AT0539,2020/10/1,100,1
02有排行无提醒,皖AT0601,2020/10/1,100,1
01有排行有提醒,皖AT0600,2020/10/1,100,1
04无排行无提醒,皖AT0661,2020/10/1,100,1
01有排行有提醒,粤L39ES3,2020/10/1,100,1
04无排行无提醒,粤BP439V,2020/10/1,100,1
01有排行有提醒,粤B3R80W,2020/10/1,100,1
04无排行无提醒,粤B3RC91,2020/10/1,100,1
03无排行有提醒,粤B533CJ,2020/10/1,100,1
02有排行无提醒,粤B3Q03K,2020/10/1,100,1
01有排行有提醒,粤S45B27,2020/10/1,100,1
01有排行有提醒,皖AT0626,2020/10/1,100,1
02有排行无提醒,粤JCL629,2020/10/1,100,1
03无排行有提醒,粤B3AU48,2020/10/1,100,1
01有排行有提醒,粤LBY602,2020/10/1,100,1
04无排行无提醒,粤B4C0S6,2020/10/1,100,1
04无排行无提醒,粤STB959,2020/10/1,100,1
01有排行有提醒,粤BH218W,2020/10/1,100,1
04无排行无提醒,粤PR5795,2020/10/1,100,1
03无排行有提醒,粤BY1047,2020/10/1,100,1
01有排行有提醒,粤BT2220,2020/10/1,100,1
03无排行有提醒,粤STC809,2020/10/1,100,1
02有排行无提醒,闽C88DN2,2020/10/1,100,1
02有排行无提醒,皖AYY059,2020/10/1,100,1
04无排行无提醒,粤S09158,2020/10/1,100,1
04无排行无提醒,皖AT0540,2020/10/1,100,1
02有排行无提醒,粤B9XN26,2020/10/1,100,1
03无排行有提醒,粤B2X562,2020/10/1,100,1
01有排行有提醒,粤B2K335,2020/10/1,100,1
03无排行有提醒,皖AT0563,2020/10/1,99.87,2
02有排行无提醒,皖AT0620,2020/10/1,85.9,3
01有排行有提醒,皖AT0642,2020/10/1,81.61,4
01有排行有提醒,皖AT0650,2020/10/1,77.75,5
04无排行无提醒,皖AT0565,2020/10/1,77.26,6
01有排行有提醒,皖AT0568,2020/10/1,76.3,7
03无排行有提醒,皖AT0631,2020/10/1,69.31,8
03无排行有提醒,皖AT0621,2020/10/1,51.4,9
02有排行无提醒,粤BL05M1,2020/10/1,48.65,10
03无排行有提醒,皖AT0596,2020/10/1,47.79,11
01有排行有提醒,皖AT0599,2020/10/1,44.99,12
01有排行有提醒,皖AT0665,2020/10/1,44.84,13
01有排行有提醒,皖AT0553,2020/10/1,41.97,14
03无排行有提醒,皖AT0632,2020/10/1,41.89,15
01有排行有提醒,皖AT0628,2020/10/1,41.54,16
04无排行无提醒,皖AT0658,2020/10/1,32.8,17
02有排行无提醒,皖AT0613,2020/10/1,25.38,18
03无排行有提醒,皖AT0591,2020/10/1,11.47,19
04无排行无提醒,皖AT0623,2020/10/1,9.61,20
01有排行有提醒,皖AT0609,2020/10/1,0,21
04无排行无提醒,皖AT0556,2020/10/1,0,21
03无排行有提醒,粤TEST01,2020/10/1,0,21
02有排行无提醒,粤BN8G52,2020/10/1,0,21
01有排行有提醒,粤B048RX,2020/10/1,0,21
02有排行无提醒,皖AT0641,2020/10/1,0,21
02有排行无提醒,皖AT0580,2020/10/2,100,1
03无排行有提醒,皖AT0549,2020/10/2,100,1
02有排行无提醒,皖AT0543,2020/10/2,100,1
03无排行有提醒,皖AT0633,2020/10/2,100,1
02有排行无提醒,皖AT0576,2020/10/2,100,1
02有排行无提醒,粤SL3H57,2020/10/2,100,1
03无排行有提醒,粤BS207S,2020/10/2,100,1
04无排行无提醒,粤B83CT2,2020/10/2,100,1
03无排行有提醒,粤B892VK,2020/10/2,100,1
04无排行无提醒,粤B0Y92H,2020/10/2,100,1
02有排行无提醒,粤B7U0H5,2020/10/2,100,1
03无排行有提醒,渝D865V3,2020/10/2,100,1
01有排行有提醒,粤L39ES3,2020/10/2,100,1
04无排行无提醒,皖AT0560,2020/10/2,100,1
03无排行有提醒,皖AT0579,2020/10/2,100,1
02有排行无提醒,皖AT0541,2020/10/2,100,1
01有排行有提醒,皖AT0619,2020/10/2,100,1
04无排行无提醒,皖AT0666,2020/10/2,100,1
02有排行无提醒,皖AT0575,2020/10/2,100,1
03无排行有提醒,皖AT0589,2020/10/2,100,1
02有排行无提醒,皖AT0657,2020/10/2,100,1
01有排行有提醒,皖AT0547,2020/10/2,100,1
04无排行无提醒,皖AT0616,2020/10/2,100,1
03无排行有提醒,皖AT0539,2020/10/2,100,1
02有排行无提醒,皖AT0601,2020/10/2,100,1
01有排行有提醒,皖AT0600,2020/10/2,100,1
04无排行无提醒,皖AT0661,2020/10/2,100,1
04无排行无提醒,粤BP439V,2020/10/2,100,1
01有排行有提醒,粤BH218W,2020/10/2,100,1
04无排行无提醒,粤B3RC91,2020/10/2,100,1
03无排行有提醒,粤B533CJ,2020/10/2,100,1
01有排行有提醒,粤S45B27,2020/10/2,100,1
01有排行有提醒,皖AT0626,2020/10/2,100,1
02有排行无提醒,粤B3Q03K,2020/10/2,100,1
04无排行无提醒,粤STB959,2020/10/2,100,1
02有排行无提醒,闽C88DN2,2020/10/2,100,1
02有排行无提醒,粤JCL629,2020/10/2,100,1
03无排行有提醒,粤B3AU48,2020/10/2,100,1
04无排行无提醒,皖AT0540,2020/10/2,100,1
03无排行有提醒,粤B2X562,2020/10/2,100,1
03无排行有提醒,粤STC809,2020/10/2,100,1
01有排行有提醒,粤B2K335,2020/10/2,100,1
04无排行无提醒,粤PR5795,2020/10/2,100,1
03无排行有提醒,粤BY1047,2020/10/2,100,1
