部门,车牌号,日期,驾驶行为评分,排名
01有排行有提醒,粤B2K335,2020/6/1,100,1
01有排行有提醒,皖AT0619,2020/6/1,100,1
02有排行无提醒,粤SL3H57,2020/6/1,100,1
04无排行无提醒,皖AT0666,2020/6/1,100,1
01有排行有提醒,皖AT0600,2020/6/1,100,1
04无排行无提醒,皖AT0661,2020/6/1,100,1
01有排行有提醒,皖AT0547,2020/6/1,100,1
02有排行无提醒,皖AT0613,2020/6/1,100,1
04无排行无提醒,皖AT0560,2020/6/1,100,1
03无排行有提醒,皖AT0589,2020/6/1,100,1
02有排行无提醒,皖AT0543,2020/6/1,100,1
03无排行有提醒,皖AT0633,2020/6/1,100,1
02有排行无提醒,皖AT0575,2020/6/1,100,1
03无排行有提醒,粤BY1047,2020/6/1,100,1
03无排行有提醒,粤B2X562,2020/6/1,100,1
01有排行有提醒,粤LBY602,2020/6/1,100,1
04无排行无提醒,粤B4C0S6,2020/6/1,100,1
02有排行无提醒,闽C88DN2,2020/6/1,100,1
04无排行无提醒,粤STB959,2020/6/1,100,1
01有排行有提醒,皖AT0626,2020/6/1,100,1
02有排行无提醒,皖AYY059,2020/6/1,100,1
02有排行无提醒,皖AT0580,2020/6/1,100,1
03无排行有提醒,粤B3AU48,2020/6/1,100,1
01有排行有提醒,粤BH218W,2020/6/1,100,1
04无排行无提醒,粤S09158,2020/6/1,100,1
01有排行有提醒,粤S45B27,2020/6/1,100,1
03无排行有提醒,粤B533CJ,2020/6/1,100,1
04无排行无提醒,粤B3RC91,2020/6/1,100,1
03无排行有提醒,粤B892VK,2020/6/1,100,1
02有排行无提醒,粤BL05M1,2020/6/1,94.77,2
03无排行有提醒,粤STC809,2020/6/1,93.7,3
02有排行无提醒,粤B3Q03K,2020/6/1,93.54,4
02有排行无提醒,粤JCL629,2020/6/1,93.22,5
04无排行无提醒,粤BP439V,2020/6/1,92.59,6
01有排行有提醒,皖AT0642,2020/6/1,92.26,7
01有排行有提醒,粤B3R80W,2020/6/1,91.94,8
01有排行有提醒,粤BT2220,2020/6/1,88.02,9
02有排行无提醒,粤B9XN26,2020/6/1,87.67,10
01有排行有提醒,皖AT0650,2020/6/1,77.02,11
02有排行无提醒,皖AT0657,2020/6/1,75.2,12
03无排行有提醒,皖AT0596,2020/6/1,71.5,13
04无排行无提醒,皖AT0565,2020/6/1,71.29,14
03无排行有提醒,皖AT0563,2020/6/1,68.15,15
02有排行无提醒,皖AT0620,2020/6/1,67.51,16
01有排行有提醒,皖AT0665,2020/6/1,67.5,17
01有排行有提醒,皖AT0568,2020/6/1,61.24,18
03无排行有提醒,皖AT0631,2020/6/1,60.35,19
04无排行无提醒,皖AT0658,2020/6/1,59.13,20
03无排行有提醒,皖AT0591,2020/6/1,49.3,21
03无排行有提醒,皖AT0632,2020/6/1,41.89,22
02有排行无提醒,皖AT0576,2020/6/1,40.63,23
02有排行无提醒,皖AT0541,2020/6/1,39.11,24
03无排行有提醒,皖AT0579,2020/6/1,38.31,25
02有排行无提醒,皖AT0601,2020/6/1,37.1,26
