部门,车牌号,日期,驾驶行为评分,排名
02有排行无提醒,皖AT0580,2020/7/1,100,1
03无排行有提醒,皖AT0633,2020/7/1,100,1
02有排行无提醒,皖AT0576,2020/7/1,100,1
02有排行无提醒,粤SL3H57,2020/7/1,100,1
03无排行有提醒,粤BS207S,2020/7/1,100,1
04无排行无提醒,粤B83CT2,2020/7/1,100,1
03无排行有提醒,粤B892VK,2020/7/1,100,1
04无排行无提醒,粤B0Y92H,2020/7/1,100,1
02有排行无提醒,粤B7U0H5,2020/7/1,100,1
03无排行有提醒,渝D865V3,2020/7/1,100,1
01有排行有提醒,粤L39ES3,2020/7/1,100,1
02有排行无提醒,皖AT0543,2020/7/1,100,1
03无排行有提醒,皖AT0549,2020/7/1,100,1
04无排行无提醒,皖AT0560,2020/7/1,100,1
01有排行有提醒,皖AT0619,2020/7/1,100,1
04无排行无提醒,皖AT0666,2020/7/1,100,1
02有排行无提醒,皖AT0575,2020/7/1,100,1
03无排行有提醒,皖AT0589,2020/7/1,100,1
01有排行有提醒,皖AT0547,2020/7/1,100,1
04无排行无提醒,皖AT0616,2020/7/1,100,1
03无排行有提醒,皖AT0539,2020/7/1,100,1
01有排行有提醒,皖AT0600,2020/7/1,100,1
04无排行无提醒,皖AT0661,2020/7/1,100,1
03无排行有提醒,皖AT0579,2020/7/1,100,1
01有排行有提醒,粤B2K335,2020/7/1,100,1
04无排行无提醒,粤B3RC91,2020/7/1,100,1
03无排行有提醒,粤B533CJ,2020/7/1,100,1
01有排行有提醒,粤S45B27,2020/7/1,100,1
02有排行无提醒,粤B3Q03K,2020/7/1,100,1
03无排行有提醒,粤B3AU48,2020/7/1,100,1
01有排行有提醒,粤LBY602,2020/7/1,100,1
01有排行有提醒,皖AT0626,2020/7/1,100,1
02有排行无提醒,闽C88DN2,2020/7/1,100,1
01有排行有提醒,粤BH218W,2020/7/1,100,1
04无排行无提醒,粤B4C0S6,2020/7/1,100,1
03无排行有提醒,粤B2X562,2020/7/1,100,1
04无排行无提醒,粤S09158,2020/7/1,100,1
04无排行无提醒,粤STB959,2020/7/1,100,1
02有排行无提醒,皖AYY059,2020/7/1,100,1
03无排行有提醒,粤BY1047,2020/7/1,100,1
03无排行有提醒,粤STC809,2020/7/1,98.77,2
02有排行无提醒,粤JCL629,2020/7/1,92.53,3
02有排行无提醒,粤BL05M1,2020/7/1,92.13,4
01有排行有提醒,粤B3R80W,2020/7/1,92.07,5
02有排行无提醒,粤B9XN26,2020/7/1,90.41,6
01有排行有提醒,粤BT2220,2020/7/1,83.46,7
01有排行有提醒,皖AT0642,2020/7/1,79.29,8
03无排行有提醒,皖AT0621,2020/7/1,78.27,9
01有排行有提醒,皖AT0568,2020/7/1,77.08,10
02有排行无提醒,皖AT0541,2020/7/1,76.76,11
02有排行无提醒,皖AT0620,2020/7/1,70.79,12
04无排行无提醒,皖AT0658,2020/7/1,68.11,13
03无排行有提醒,皖AT0596,2020/7/1,65.15,14
03无排行有提醒,皖AT0563,2020/7/1,65.12,15
01有排行有提醒,皖AT0665,2020/7/1,64.31,16
02有排行无提醒,皖AT0657,2020/7/1,59.23,17
02有排行无提醒,皖AT0613,2020/7/1,58.11,18
04无排行无提醒,粤BP439V,2020/7/1,54.98,19
01有排行有提醒,皖AT0650,2020/7/1,54.88,20
04无排行无提醒,皖AT0623,2020/7/1,52.79,21
02有排行无提醒,皖AT0601,2020/7/1,51.13,22
01有排行有提醒,皖AT0553,2020/7/1,44.34,23
03无排行有提醒,皖AT0632,2020/7/1,44.01,24
04无排行无提醒,皖AT0565,2020/7/1,43.36,25
03无排行有提醒,皖AT0631,2020/7/1,42.79,26
01有排行有提醒,皖AT0628,2020/7/1,40.35,27
03无排行有提醒,皖AT0591,2020/7/1,39.77,28
04无排行无提醒,皖AT0540,2020/7/1,35.6,29
04无排行无提醒,皖AT0608,2020/7/1,32.71,30
01有排行有提醒,皖AT0599,2020/7/1,12.75,31
02有排行无提醒,粤BN8G52,2020/7/1,0,32
01有排行有提醒,皖AT0609,2020/7/1,0,32
03无排行有提醒,粤TEST01,2020/7/1,0,32
