部门,车牌号,日期,驾驶行为评分,排名
03无排行有提醒,皖AT0632,2020/3/1,100,1
03无排行有提醒,皖AT0633,2020/3/1,100,1
01有排行有提醒,皖AT0553,2020/3/1,100,1
02有排行无提醒,粤SL3H57,2020/3/1,100,1
03无排行有提醒,粤BS207S,2020/3/1,100,1
04无排行无提醒,粤B83CT2,2020/3/1,100,1
03无排行有提醒,粤B892VK,2020/3/1,100,1
04无排行无提醒,粤B0Y92H,2020/3/1,100,1
02有排行无提醒,粤B7U0H5,2020/3/1,100,1
03无排行有提醒,渝D865V3,2020/3/1,100,1
03无排行有提醒,粤STC809,2020/3/1,100,1
02有排行无提醒,皖AT0543,2020/3/1,100,1
03无排行有提醒,皖AT0631,2020/3/1,100,1
01有排行有提醒,皖AT0547,2020/3/1,100,1
04无排行无提醒,皖AT0616,2020/3/1,100,1
03无排行有提醒,皖AT0563,2020/3/1,100,1
03无排行有提醒,皖AT0621,2020/3/1,100,1
01有排行有提醒,皖AT0600,2020/3/1,100,1
02有排行无提醒,皖AT0620,2020/3/1,100,1
04无排行无提醒,皖AT0666,2020/3/1,100,1
03无排行有提醒,皖AT0539,2020/3/1,100,1
02有排行无提醒,皖AT0613,2020/3/1,100,1
04无排行无提醒,皖AT0560,2020/3/1,100,1
01有排行有提醒,粤B2K335,2020/3/1,100,1
04无排行无提醒,粤PR5795,2020/3/1,100,1
03无排行有提醒,粤BY1047,2020/3/1,100,1
03无排行有提醒,粤B3AU48,2020/3/1,100,1
01有排行有提醒,粤LBY602,2020/3/1,100,1
04无排行无提醒,粤B4C0S6,2020/3/1,100,1
02有排行无提醒,闽C88DN2,2020/3/1,100,1
04无排行无提醒,粤STB959,2020/3/1,100,1
01有排行有提醒,粤S45B27,2020/3/1,100,1
01有排行有提醒,皖AT0626,2020/3/1,100,1
02有排行无提醒,皖AYY059,2020/3/1,100,1
01有排行有提醒,粤BT2220,2020/3/1,100,1
02有排行无提醒,粤JCL629,2020/3/1,100,1
04无排行无提醒,粤S09158,2020/3/1,100,1
02有排行无提醒,粤B9XN26,2020/3/1,100,1
03无排行有提醒,粤B2X562,2020/3/1,100,1
01有排行有提醒,粤BH218W,2020/3/1,100,1
04无排行无提醒,粤B3RC91,2020/3/1,100,1
03无排行有提醒,粤B533CJ,2020/3/1,100,1
01有排行有提醒,粤L39ES3,2020/3/1,99.93,2
01有排行有提醒,皖AT0642,2020/3/1,95.37,3
02有排行无提醒,粤BL05M1,2020/3/1,94.22,4
04无排行无提醒,皖AT0540,2020/3/1,94.21,5
03无排行有提醒,皖AT0596,2020/3/1,93.89,6
02有排行无提醒,粤B3Q03K,2020/3/1,92.19,7
04无排行无提醒,皖AT0661,2020/3/1,92.03,8
02有排行无提醒,皖AT0580,2020/3/1,89.21,9
03无排行有提醒,皖AT0579,2020/3/1,87.12,10
04无排行无提醒,皖AT0623,2020/3/1,82.15,11
01有排行有提醒,皖AT0665,2020/3/1,80.95,12
03无排行有提醒,皖AT0589,2020/3/1,80.16,13
04无排行无提醒,皖AT0565,2020/3/1,79.01,14
01有排行有提醒,粤B3R80W,2020/3/1,77.48,15
01有排行有提醒,皖AT0599,2020/3/1,75.71,16
04无排行无提醒,皖AT0608,2020/3/1,74.86,17
01有排行有提醒,皖AT0650,2020/3/1,74.25,18
03无排行有提醒,皖AT0591,2020/3/1,71.85,19
01有排行有提醒,皖AT0568,2020/3/1,70.76,20
04无排行无提醒,皖AT0658,2020/3/1,69.99,21
02有排行无提醒,皖AT0541,2020/3/1,68.87,22
01有排行有提醒,皖AT0619,2020/3/1,68.15,23
04无排行无提醒,粤BP439V,2020/3/1,66.95,24
02有排行无提醒,皖AT0657,2020/3/1,66.66,25
01有排行有提醒,皖AT0628,2020/3/1,53.3,26
03无排行有提醒,皖AT0549,2020/3/1,50.62,27
02有排行无提醒,皖AT0576,2020/3/1,40.85,28
02有排行无提醒,皖AT0575,2020/3/1,28.02,29
02有排行无提醒,皖AT0601,2020/3/1,2.83,30
04无排行无提醒,皖AT0556,2020/3/1,0,31
02有排行无提醒,粤BN8G52,2020/3/1,0,31
01有排行有提醒,粤B048RX,2020/3/1,0,31
01有排行有提醒,皖AT0609,2020/3/1,0,31
03无排行有提醒,粤TEST01,2020/3/1,0,31
02有排行无提醒,皖AT0641,2020/3/1,0,31
03无排行有提醒,皖AT0621,2020/3/2,100,1
03无排行有提醒,粤BS207S,2020/3/2,100,1
04无排行无提醒,粤B83CT2,2020/3/2,100,1
02有排行无提醒,粤BL05M1,2020/3/2,100,1
03无排行有提醒,粤B892VK,2020/3/2,100,1
04无排行无提醒,粤B0Y92H,2020/3/2,100,1
02有排行无提醒,粤B7U0H5,2020/3/2,100,1
03无排行有提醒,渝D865V3,2020/3/2,100,1
01有排行有提醒,粤L39ES3,2020/3/2,100,1
03无排行有提醒,粤STC809,2020/3/2,100,1
01有排行有提醒,粤B2K335,2020/3/2,100,1
02有排行无提醒,粤SL3H57,2020/3/2,100,1
01有排行有提醒,皖AT0553,2020/3/2,100,1
03无排行有提醒,皖AT0632,2020/3/2,100,1
01有排行有提醒,皖AT0547,2020/3/2,100,1
04无排行无提醒,皖AT0616,2020/3/2,100,1
03无排行有提醒,皖AT0563,2020/3/2,100,1
03无排行有提醒,皖AT0539,2020/3/2,100,1
01有排行有提醒,皖AT0600,2020/3/2,100,1
04无排行无提醒,皖AT0560,2020/3/2,100,1
02有排行无提醒,皖AT0543,2020/3/2,100,1
03无排行有提醒,皖AT0633,2020/3/2,100,1
02有排行无提醒,皖AT0576,2020/3/2,100,1
04无排行无提醒,粤PR5795,2020/3/2,100,1
03无排行有提醒,粤BY1047,2020/3/2,100,1
03无排行有提醒,粤B3AU48,2020/3/2,100,1
01有排行有提醒,粤LBY602,2020/3/2,100,1
