日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
2020年5月,皖AT0628,01有排行有提醒,0,31,1310.49,2953.84,0
2020年5月,皖AT0665,01有排行有提醒,0,31,1358.15,3061.27,0
2020年5月,皖AT0568,01有排行有提醒,0,31,1625.69,3664.31,0
2020年5月,皖AT0599,01有排行有提醒,0,31,1226.01,2763.43,0
2020年5月,皖AT0553,01有排行有提醒,0,31,1147.98,2587.55,0
2020年5月,皖AT0642,01有排行有提醒,0,31,231.85,522.59,0
2020年5月,皖AT0650,01有排行有提醒,0,31,984.56,2219.2,0
2020年5月,粤BT2220,01有排行有提醒,2,29,380.48,857.6,59.14
2020年5月,粤B3R80W,01有排行有提醒,0,31,68.1,153.5,0
2020年5月,粤LBY602,01有排行有提醒,31,0,0,0,372.31
2020年5月,皖AT0547,01有排行有提醒,31,0,0,0,3605.61
2020年5月,皖AT0626,01有排行有提醒,31,0,0,0,1541.63
2020年5月,皖AT0619,01有排行有提醒,31,0,0,0,1129.95
2020年5月,皖AT0609,01有排行有提醒,0,0,0,0,0
2020年5月,粤S45B27,01有排行有提醒,31,0,0,0,1146.38
2020年5月,粤L39ES3,01有排行有提醒,27,4,4.7,10.59,71.51
2020年5月,粤B048RX,01有排行有提醒,0,0,0,0,0
2020年5月,皖AT0600,01有排行有提醒,31,0,0,0,4101.92
2020年5月,粤BH218W,01有排行有提醒,31,0,0,0,0
2020年5月,粤B2K335,01有排行有提醒,31,0,0,0,253.89
