日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放,绿色出行减排
2020年9月,皖AT0568,01有排行有提醒,0,30,1642.91,3703.12,0
2020年9月,皖AT0628,01有排行有提醒,0,30,1352.54,3048.63,0
2020年9月,皖AT0553,01有排行有提醒,0,30,1178.48,2656.29,0
2020年9月,皖AT0665,01有排行有提醒,0,30,1406.33,3169.87,0
2020年9月,皖AT0650,01有排行有提醒,0,30,972.1,2191.11,0
2020年9月,皖AT0599,01有排行有提醒,0,30,835.48,1883.17,0
2020年9月,皖AT0642,01有排行有提醒,3,27,224,504.9,56.1
2020年9月,粤BT2220,01有排行有提醒,6,24,326.64,736.25,184.06
2020年9月,皖AT0609,01有排行有提醒,0,0,0,0,0
2020年9月,皖AT0547,01有排行有提醒,30,0,0,0,3489.3
2020年9月,皖AT0619,01有排行有提醒,30,0,0,0,1093.5
2020年9月,皖AT0600,01有排行有提醒,30,0,0,0,3969.6
2020年9月,粤BH218W,01有排行有提醒,30,0,0,0,0
2020年9月,粤S45B27,01有排行有提醒,30,0,0,0,1109.4
2020年9月,粤LBY602,01有排行有提醒,30,0,0,0,360.3
2020年9月,皖AT0626,01有排行有提醒,30,0,0,0,1491.9
2020年9月,粤L39ES3,01有排行有提醒,30,0,0,0,375.9
2020年9月,粤B2K335,01有排行有提醒,30,0,0,0,245.7
2020年9月,粤B3R80W,01有排行有提醒,30,0,0,0,180.3
2020年9月,粤B048RX,01有排行有提醒,0,0,0,0,0
