日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
2019年12月,皖AT0547,01有排行有提醒,0,31,1808.74,4076.9,0
2019年12月,皖AT0650,01有排行有提醒,0,31,1791.87,4038.87,0
2019年12月,皖AT0568,01有排行有提醒,0,31,1729.02,3897.21,0
2019年12月,皖AT0600,01有排行有提醒,0,31,1926.01,4341.23,0
2019年12月,皖AT0665,01有排行有提醒,0,31,1217.3,2743.79,0
2019年12月,皖AT0628,01有排行有提醒,1,30,1070.18,2412.19,80.41
2019年12月,皖AT0553,01有排行有提醒,17,13,378.96,854.18,1117
2019年12月,粤B2K335,01有排行有提醒,7,24,62.34,140.51,40.98
2019年12月,粤L39ES3,01有排行有提醒,0,28,188.15,424.09,0
2019年12月,粤BT2220,01有排行有提醒,0,31,402.77,907.84,0
2019年12月,皖AT0619,01有排行有提醒,0,31,618.29,1393.63,0
2019年12月,粤B3R80W,01有排行有提醒,0,31,113.18,255.11,0
2019年12月,皖AT0642,01有排行有提醒,1,12,74.79,168.58,14.05
2019年12月,皖AT0626,01有排行有提醒,31,0,0,0,1541.63
2019年12月,皖AT0609,01有排行有提醒,0,0,0,0,0
2019年12月,粤S45B27,01有排行有提醒,31,0,0,0,1146.38
2019年12月,粤B048RX,01有排行有提醒,0,0,0,0,0
2019年12月,粤BH218W,01有排行有提醒,31,0,0,0,0
2019年12月,粤LBY602,01有排行有提醒,31,0,0,0,372.31
2019年12月,皖AT0599,01有排行有提醒,1,30,1076.8,2427.11,80.9
