部门,车牌号,油耗,,,碳排放,日期
02有排行无提醒,粤B3Q03K,14.45,0.73,3.088,32.573768,9/1/2019
02有排行无提醒,粤BN8G52,4.76,0.73,3.088,10.7301824,9/1/2019
02有排行无提醒,粤JCL629,1.71,0.73,3.088,3.8547504,9/1/2019
02有排行无提醒,粤B9XN26,3.57,0.73,3.088,8.0476368,9/1/2019
02有排行无提醒,闽C88DN2,1.29,0.73,3.088,2.9079696,9/1/2019
02有排行无提醒,粤B7U0H5,0.76,0.73,3.088,1.7132224,9/1/2019
02有排行无提醒,粤B3Q03K,12.73,0.73,3.088,28.6964752,9/2/2019
02有排行无提醒,粤B9XN26,6.16,0.73,3.088,13.8861184,9/2/2019
02有排行无提醒,闽C88DN2,2.25,0.73,3.088,5.07204,9/2/2019
02有排行无提醒,粤BN8G52,2.72,0.73,3.088,6.1315328,9/2/2019
02有排行无提醒,粤B7U0H5,0.52,0.73,3.088,1.1722048,9/2/2019
02有排行无提醒,粤JCL629,0,0.73,3.088,0,9/2/2019
02有排行无提醒,粤B3Q03K,13.78,0.73,3.088,31.0634272,9/3/2019
02有排行无提醒,粤B9XN26,13,0.73,3.088,29.30512,9/3/2019
02有排行无提醒,闽C88DN2,2.11,0.73,3.088,4.7564464,9/3/2019
02有排行无提醒,粤BN8G52,2.78,0.73,3.088,6.2667872,9/3/2019
02有排行无提醒,粤B7U0H5,0.26,0.73,3.088,0.5861024,9/3/2019
02有排行无提醒,粤JCL629,0,0.73,3.088,0,9/3/2019
02有排行无提醒,粤B3Q03K,18.95,0.73,3.088,42.717848,9/4/2019
02有排行无提醒,粤B9XN26,11.99,0.73,3.088,27.0283376,9/4/2019
02有排行无提醒,粤BN8G52,5.55,0.73,3.088,12.511032,9/4/2019
02有排行无提醒,闽C88DN2,1.08,0.73,3.088,2.4345792,9/4/2019
02有排行无提醒,粤B7U0H5,1.45,0.73,3.088,3.268648,9/4/2019
02有排行无提醒,粤JCL629,0,0.73,3.088,0,9/4/2019
02有排行无提醒,粤B3Q03K,23.03,0.73,3.088,51.9151472,9/5/2019
02有排行无提醒,粤B9XN26,6.25,0.73,3.088,14.089,9/5/2019
