车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
皖AT0632,03无排行有提醒,0,15,958.17,2159.72,0
皖AT0596,03无排行有提醒,0,15,587.7,1324.68,0
皖AT0591,03无排行有提醒,0,15,744.49,1678.08,0
皖AT0563,03无排行有提醒,1,14,475.37,1071.48,76.53
皖AT0631,03无排行有提醒,0,15,545.95,1230.57,0
皖AT0621,03无排行有提醒,0,15,652.12,1469.88,0
粤STC809,03无排行有提醒,0,15,306.03,689.79,0
皖AT0579,03无排行有提醒,15,0,0,0,1281
皖AT0589,03无排行有提醒,15,0,0,0,1231.65
渝D865V3,03无排行有提醒,15,0,0,0,151.8
皖AT0539,03无排行有提醒,15,0,0,0,1655.55
粤B2X562,03无排行有提醒,15,0,0,0,100.35
粤B533CJ,03无排行有提醒,15,0,0,0,74.1
粤B3AU48,03无排行有提醒,15,0,0,0,55.65
1.2212E+16,03无排行有提醒,15,0,0,0,8.85
粤BY1047,03无排行有提醒,15,0,0,0,40.5
皖AT0549,03无排行有提醒,15,0,0,0,1831.2
皖AT0633,03无排行有提醒,15,0,0,0,1661.1
粤BS207S,03无排行有提醒,15,0,0,0,152.85
粤B892VK,03无排行有提醒,15,0,0,0,90.6
