车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
皖AT0621,03无排行有提醒,26,3,10.48,23.62,204.72
皖AT0589,03无排行有提醒,21,8,86.92,195.92,514.28
粤BS207S,03无排行有提醒,21,8,5.88,13.25,34.79
皖AT0591,03无排行有提醒,8,21,428.87,966.67,368.26
皖AT0549,03无排行有提醒,13,15,263.72,594.42,515.17
皖AT0579,03无排行有提醒,13,16,214.12,482.63,392.13
皖AT0539,03无排行有提醒,29,0,0,0,3200.73
皖AT0632,03无排行有提醒,29,0,0,0,4094.51
皖AT0631,03无排行有提醒,25,4,22.64,51.03,318.94
皖AT0596,03无排行有提醒,16,13,105.69,238.23,293.2
皖AT0563,03无排行有提醒,28,1,0.61,1.37,38.5
粤B2X562,03无排行有提醒,29,0,0,0,194.01
粤B533CJ,03无排行有提醒,29,0,0,0,143.26
粤B3AU48,03无排行有提醒,29,0,0,0,107.59
1.2212E+16,03无排行有提醒,29,0,0,0,17.11
皖AT0633,03无排行有提醒,29,0,0,0,3211.46
渝D865V3,03无排行有提醒,29,0,0,0,293.48
粤B892VK,03无排行有提醒,29,0,0,0,175.16
粤STC809,03无排行有提醒,29,0,0,0,1086.05
粤BY1047,03无排行有提醒,29,0,0,0,78.3
