车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
皖AT0665,01有排行有提醒,0,31,1140.77,2571.3,0
皖AT0568,01有排行有提醒,0,31,1276.17,2876.49,0
皖AT0650,01有排行有提醒,0,31,513.21,1156.78,0
皖AT0628,01有排行有提醒,5,26,515.87,1162.77,223.61
皖AT0599,01有排行有提醒,0,31,711.33,1603.34,0
皖AT0619,01有排行有提醒,1,30,187.37,422.33,14.08
皖AT0642,01有排行有提醒,11,20,119.96,270.39,148.71
粤B3R80W,01有排行有提醒,0,31,69.25,156.09,0
粤L39ES3,01有排行有提醒,21,10,2.44,5.5,11.55
皖AT0609,01有排行有提醒,0,0,0,0,0
皖AT0547,01有排行有提醒,31,0,0,0,3605.61
皖AT0600,01有排行有提醒,31,0,0,0,4101.92
粤BH218W,01有排行有提醒,31,0,0,0,0
粤S45B27,01有排行有提醒,31,0,0,0,1146.38
粤LBY602,01有排行有提醒,31,0,0,0,372.31
皖AT0626,01有排行有提醒,31,0,0,0,1541.63
皖AT0553,01有排行有提醒,7,24,472.69,1065.44,310.75
粤B2K335,01有排行有提醒,31,0,0,0,253.89
粤B048RX,01有排行有提醒,0,0,0,0,0
粤BT2220,01有排行有提醒,15,16,264.86,596.99,559.68
