车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放,绿色出行减排
粤L39ES3,01有排行有提醒,0,27,242.39,546.35,0
粤BT2220,01有排行有提醒,1,29,394.51,889.23,30.66
粤B048RX,01有排行有提醒,0,3,10.6,23.89,0
粤LBY602,01有排行有提醒,24,6,11.95,26.94,107.74
粤B3R80W,01有排行有提醒,3,19,17.51,39.47,6.23
粤B2K335,01有排行有提醒,8,22,103.38,233.02,84.73
粤S45B27,01有排行有提醒,30,0,0,0,1109.4
粤BH218W,01有排行有提醒,20,1,0,0,0
