部门,车牌号,油耗,,,碳排放（KG）,日期
01有排行有提醒,皖AT0665,49.17,0.73,3.088,110.8409808,2020/10/1
01有排行有提醒,皖AT0553,44.41,0.73,3.088,100.1107984,2020/10/1
01有排行有提醒,皖AT0599,27.06,0.73,3.088,60.9997344,2020/10/1
01有排行有提醒,皖AT0650,15.88,0.73,3.088,35.7973312,2020/10/1
01有排行有提醒,皖AT0568,14.57,0.73,3.088,32.8442768,2020/10/1
01有排行有提醒,皖AT0642,13.4,0.73,3.088,30.206816,2020/10/1
01有排行有提醒,皖AT0628,15.54,0.73,3.088,35.0308896,2020/10/1
01有排行有提醒,皖AT0600,0,0.73,3.088,0,2020/10/1
01有排行有提醒,皖AT0609,0,0.73,3.088,0,2020/10/1
01有排行有提醒,皖AT0619,0,0.73,3.088,0,2020/10/1
01有排行有提醒,皖AT0547,0,0.73,3.088,0,2020/10/1
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2020/10/1
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2020/10/1
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2020/10/1
01有排行有提醒,皖AT0626,0,0.73,3.088,0,2020/10/1
01有排行有提醒,粤L39ES3,0,0.73,3.088,0,2020/10/1
01有排行有提醒,粤B2K335,0,0.73,3.088,0,2020/10/1
01有排行有提醒,粤B3R80W,0,0.73,3.088,0,2020/10/1
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2020/10/1
01有排行有提醒,粤BT2220,0,0.73,3.088,0,2020/10/1
01有排行有提醒,皖AT0642,37.5,0.73,3.088,84.534,2020/10/2
01有排行有提醒,皖AT0553,37.14,0.73,3.088,83.7224736,2020/10/2
01有排行有提醒,皖AT0599,29.01,0.73,3.088,65.3955024,2020/10/2
01有排行有提醒,皖AT0650,18.89,0.73,3.088,42.5825936,2020/10/2
01有排行有提醒,皖AT0665,26.41,0.73,3.088,59.5344784,2020/10/2
01有排行有提醒,皖AT0568,22.03,0.73,3.088,49.6609072,2020/10/2
01有排行有提醒,皖AT0628,9.59,0.73,3.088,21.6181616,2020/10/2
01有排行有提醒,皖AT0600,0,0.73,3.088,0,2020/10/2
01有排行有提醒,皖AT0609,0,0.73,3.088,0,2020/10/2
01有排行有提醒,皖AT0619,0,0.73,3.088,0,2020/10/2
01有排行有提醒,皖AT0547,0,0.73,3.088,0,2020/10/2
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2020/10/2
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2020/10/2
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2020/10/2
01有排行有提醒,皖AT0626,0,0.73,3.088,0,2020/10/2
01有排行有提醒,粤L39ES3,0,0.73,3.088,0,2020/10/2
01有排行有提醒,粤B2K335,0,0.73,3.088,0,2020/10/2
01有排行有提醒,粤B3R80W,0,0.73,3.088,0,2020/10/2
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2020/10/2
01有排行有提醒,粤BT2220,0,0.73,3.088,0,2020/10/2
01有排行有提醒,皖AT0650,35.67,0.73,3.088,80.4087408,2020/10/3
01有排行有提醒,皖AT0665,47.82,0.73,3.088,107.7977568,2020/10/3
01有排行有提醒,皖AT0599,31.01,0.73,3.088,69.9039824,2020/10/3
01有排行有提醒,皖AT0553,35.55,0.73,3.088,80.138232,2020/10/3
01有排行有提醒,皖AT0628,22.8,0.73,3.088,51.396672,2020/10/3
01有排行有提醒,皖AT0568,16.72,0.73,3.088,37.6908928,2020/10/3
01有排行有提醒,皖AT0642,7.1,0.73,3.088,16.005104,2020/10/3
01有排行有提醒,皖AT0600,0,0.73,3.088,0,2020/10/3
01有排行有提醒,皖AT0609,0,0.73,3.088,0,2020/10/3
01有排行有提醒,皖AT0619,0,0.73,3.088,0,2020/10/3
01有排行有提醒,皖AT0547,0,0.73,3.088,0,2020/10/3
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2020/10/3
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2020/10/3
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2020/10/3
01有排行有提醒,皖AT0626,0,0.73,3.088,0,2020/10/3
01有排行有提醒,粤L39ES3,0,0.73,3.088,0,2020/10/3
01有排行有提醒,粤B2K335,0,0.73,3.088,0,2020/10/3
01有排行有提醒,粤B3R80W,0,0.73,3.088,0,2020/10/3
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2020/10/3
01有排行有提醒,粤BT2220,0,0.73,3.088,0,2020/10/3
01有排行有提醒,皖AT0665,48.49,0.73,3.088,109.3080976,2020/10/4
01有排行有提醒,皖AT0553,44.82,0.73,3.088,101.0350368,2020/10/4
01有排行有提醒,皖AT0628,43.53,0.73,3.088,98.1270672,2020/10/4
01有排行有提醒,皖AT0650,30.5,0.73,3.088,68.75432,2020/10/4
01有排行有提醒,皖AT0599,30.67,0.73,3.088,69.1375408,2020/10/4
