部门,车牌号,油耗,,,碳排放,日期
01有排行有提醒,粤L39ES3,15.31,0.73,3.088,34.5124144,2019/9/1
01有排行有提醒,粤BT2220,9.3,0.73,3.088,20.964432,2019/9/1
01有排行有提醒,粤B048RX,5.05,0.73,3.088,11.383912,2019/9/1
01有排行有提醒,粤LBY602,0.92,0.73,3.088,2.0739008,2019/9/1
01有排行有提醒,粤B3R80W,0.06,0.73,3.088,0.1352544,2019/9/1
01有排行有提醒,粤B2K335,0,0.73,3.088,0,2019/9/1
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/1
01有排行有提醒,粤L39ES3,12,0.73,3.088,27.05088,2019/9/2
01有排行有提醒,粤B2K335,4.01,0.73,3.088,9.0395024,2019/9/2
01有排行有提醒,粤BT2220,12.3,0.73,3.088,27.727152,2019/9/2
01有排行有提醒,粤B048RX,4.83,0.73,3.088,10.8879792,2019/9/2
01有排行有提醒,粤B3R80W,0,0.73,3.088,0,2019/9/2
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/2
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2019/9/2
01有排行有提醒,粤L39ES3,14.91,0.73,3.088,33.6107184,2019/9/3
01有排行有提醒,粤B2K335,7.24,0.73,3.088,16.3206976,2019/9/3
01有排行有提醒,粤B3R80W,5.04,0.73,3.088,11.3613696,2019/9/3
01有排行有提醒,粤BT2220,11.83,0.73,3.088,26.6676592,2019/9/3
01有排行有提醒,粤LBY602,0.8,0.73,3.088,1.803392,2019/9/3
01有排行有提醒,粤B048RX,0.72,0.73,3.088,1.6230528,2019/9/3
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/3
01有排行有提醒,粤L39ES3,11.8,0.73,3.088,26.600032,2019/9/4
01有排行有提醒,粤B2K335,7.5,0.73,3.088,16.9068,2019/9/4
01有排行有提醒,粤BT2220,15.97,0.73,3.088,36.0002128,2019/9/4
01有排行有提醒,粤B3R80W,0.07,0.73,3.088,0.1577968,2019/9/4
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2019/9/4
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/4
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2019/9/4
01有排行有提醒,粤L39ES3,12.52,0.73,3.088,28.2230848,2019/9/5
01有排行有提醒,粤BT2220,16.69,0.73,3.088,37.6232656,2019/9/5
01有排行有提醒,粤B2K335,3.63,0.73,3.088,8.1828912,2019/9/5
01有排行有提醒,粤LBY602,0.19,0.73,3.088,0.4283056,2019/9/5
01有排行有提醒,粤B3R80W,0,0.73,3.088,0,2019/9/5
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2019/9/5
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/5
01有排行有提醒,粤L39ES3,14.1,0.73,3.088,31.784784,2019/9/6
01有排行有提醒,粤BT2220,15.66,0.73,3.088,35.3013984,2019/9/6
01有排行有提醒,粤B2K335,3.63,0.73,3.088,8.1828912,2019/9/6
01有排行有提醒,粤LBY602,2.35,0.73,3.088,5.297464,2019/9/6
01有排行有提醒,粤B3R80W,0.04,0.73,3.088,0.0901696,2019/9/6
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2019/9/6
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/6
01有排行有提醒,粤BT2220,17.54,0.73,3.088,39.5393696,2019/9/7
01有排行有提醒,粤L39ES3,6.16,0.73,3.088,13.8861184,2019/9/7
01有排行有提醒,粤B2K335,3.97,0.73,3.088,8.9493328,2019/9/7
01有排行有提醒,粤LBY602,3.75,0.73,3.088,8.4534,2019/9/7
01有排行有提醒,粤B3R80W,0,0.73,3.088,0,2019/9/7
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2019/9/7
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/7
01有排行有提醒,粤B2K335,5.28,0.73,3.088,11.9023872,2019/9/8
01有排行有提醒,粤LBY602,3.94,0.73,3.088,8.8817056,2019/9/8
01有排行有提醒,粤BT2220,10.24,0.73,3.088,23.0834176,2019/9/8
01有排行有提醒,粤L39ES3,4.93,0.73,3.088,11.1134032,2019/9/8
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/8
01有排行有提醒,粤B3R80W,0,0.73,3.088,0,2019/9/8
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2019/9/8
01有排行有提醒,粤L39ES3,10.67,0.73,3.088,24.0527408,2019/9/9
01有排行有提醒,粤B2K335,11.13,0.73,3.088,25.0896912,2019/9/9
01有排行有提醒,粤BT2220,15.41,0.73,3.088,34.7378384,2019/9/9
01有排行有提醒,粤B3R80W,0,0.73,3.088,0,2019/9/9
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2019/9/9
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/9
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2019/9/9
01有排行有提醒,粤L39ES3,6.9,0.73,3.088,15.554256,2019/9/10
01有排行有提醒,粤BT2220,14.03,0.73,3.088,31.6269872,2019/9/10
01有排行有提醒,粤B2K335,2.48,0.73,3.088,5.5905152,2019/9/10
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2019/9/10
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/10
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2019/9/10
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2019/9/10
01有排行有提醒,粤B3R80W,0,0.73,3.088,0,2019/9/10
01有排行有提醒,粤B2K335,5.84,0.73,3.088,13.1647616,2019/9/11
01有排行有提醒,粤BT2220,15.58,0.73,3.088,35.1210592,2019/9/11
01有排行有提醒,粤L39ES3,0,0.73,3.088,0,2019/9/11
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2019/9/11
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/11
01有排行有提醒,粤B3R80W,0,0.73,3.088,0,2019/9/11
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2019/9/11
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2019/9/11
01有排行有提醒,粤BT2220,32.6,0.73,3.088,73.488224,2019/9/12
01有排行有提醒,粤B2K335,7.37,0.73,3.088,16.6137488,2019/9/12
01有排行有提醒,粤L39ES3,4.42,0.73,3.088,9.9637408,2019/9/12
01有排行有提醒,粤B3R80W,0,0.73,3.088,0,2019/9/12
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2019/9/12
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/12
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2019/9/12
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2019/9/12
01有排行有提醒,粤B2K335,4.08,0.73,3.088,9.1972992,2019/9/13
01有排行有提醒,粤L39ES3,3.36,0.73,3.088,7.5742464,2019/9/13
01有排行有提醒,粤BT2220,0.38,0.73,3.088,0.8566112,2019/9/13
01有排行有提醒,粤B3R80W,0.02,0.73,3.088,0.0450848,2019/9/13
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2019/9/13
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2019/9/13
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/13
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2019/9/13
01有排行有提醒,粤BT2220,8.61,0.73,3.088,19.4090064,2019/9/14
01有排行有提醒,粤L39ES3,2.25,0.73,3.088,5.07204,2019/9/14
01有排行有提醒,粤B2K335,1.55,0.73,3.088,3.494072,2019/9/14
01有排行有提醒,粤B3R80W,0.39,0.73,3.088,0.8791536,2019/9/14
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2019/9/14
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2019/9/14
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/14
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2019/9/14
01有排行有提醒,粤B2K335,2.28,0.73,3.088,5.1396672,2019/9/15
01有排行有提醒,粤L39ES3,1.9,0.73,3.088,4.283056,2019/9/15
01有排行有提醒,粤BT2220,2.47,0.73,3.088,5.5679728,2019/9/15
01有排行有提醒,粤B3R80W,0.09,0.73,3.088,0.2028816,2019/9/15
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2019/9/15
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2019/9/15
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/15
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2019/9/15
01有排行有提醒,粤L39ES3,12.89,0.73,3.088,29.0571536,2019/9/16
01有排行有提醒,粤BT2220,14.69,0.73,3.088,33.1147856,2019/9/16
01有排行有提醒,粤B2K335,0,0.73,3.088,0,2019/9/16
01有排行有提醒,粤B3R80W,0,0.73,3.088,0,2019/9/16
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2019/9/16
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/16
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2019/9/16
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2019/9/16
01有排行有提醒,粤L39ES3,14.88,0.73,3.088,33.5430912,2019/9/17
01有排行有提醒,粤BT2220,17.36,0.73,3.088,39.1336064,2019/9/17
01有排行有提醒,粤B2K335,0,0.73,3.088,0,2019/9/17
01有排行有提醒,粤B3R80W,0,0.73,3.088,0,2019/9/17
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2019/9/17
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2019/9/17
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/17
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2019/9/17
01有排行有提醒,粤L39ES3,15.45,0.73,3.088,34.828008,2019/9/18
01有排行有提醒,粤BT2220,14.05,0.73,3.088,31.672072,2019/9/18
01有排行有提醒,粤B2K335,2.32,0.73,3.088,5.2298368,2019/9/18
01有排行有提醒,粤B3R80W,0,0.73,3.088,0,2019/9/18
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2019/9/18
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2019/9/18
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/18
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2019/9/18
01有排行有提醒,粤B2K335,9.57,0.73,3.088,21.5730768,2019/9/19
01有排行有提醒,粤BT2220,14.88,0.73,3.088,33.5430912,2019/9/19
01有排行有提醒,粤B3R80W,0.49,0.73,3.088,1.1045776,2019/9/19
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2019/9/19
01有排行有提醒,粤L39ES3,0,0.73,3.088,0,2019/9/19
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2019/9/19
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/19
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2019/9/19
01有排行有提醒,粤L39ES3,5.84,0.73,3.088,13.1647616,2019/9/20
01有排行有提醒,粤BT2220,22.24,0.73,3.088,50.1342976,2019/9/20
01有排行有提醒,粤B2K335,2.17,0.73,3.088,4.8917008,2019/9/20
01有排行有提醒,粤B3R80W,1.31,0.73,3.088,2.9530544,2019/9/20
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2019/9/20
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2019/9/20
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2019/9/20
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2019/9/20
01有排行有提醒,粤L39ES3,10.27,0.73,3.088,23.1510448,2019/9/21
01有排行有提醒,粤BT2220,10.12,0.73,3.088,22.8129088,2019/9/21
01有排行有提醒,粤B2K335,0.3,0.73,3.088,0.676272,2019/9/21
01有排行有提醒,粤B3R80W,0.17,0.73,3.088,0.3832208,2019/9/21
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2019/9/21
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2019/9/21
