部门,车牌号,油耗,,,碳排放（KG）,日期
01有排行有提醒,皖AT0568,57.92,0.73,3.088,130.5655808,2020/9/1
01有排行有提醒,皖AT0628,52.98,0.73,3.088,119.4296352,2020/9/1
01有排行有提醒,皖AT0553,48.1,0.73,3.088,108.428944,2020/9/1
01有排行有提醒,皖AT0665,51.6,0.73,3.088,116.318784,2020/9/1
01有排行有提醒,皖AT0650,33.69,0.73,3.088,75.9453456,2020/9/1
01有排行有提醒,皖AT0599,25.79,0.73,3.088,58.1368496,2020/9/1
01有排行有提醒,皖AT0642,6.69,0.73,3.088,15.0808656,2020/9/1
01有排行有提醒,粤BT2220,13.56,0.73,3.088,30.5674944,2020/9/1
01有排行有提醒,皖AT0609,0,0.73,3.088,0,2020/9/1
01有排行有提醒,皖AT0547,0,0.73,3.088,0,2020/9/1
01有排行有提醒,皖AT0619,0,0.73,3.088,0,2020/9/1
01有排行有提醒,皖AT0600,0,0.73,3.088,0,2020/9/1
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2020/9/1
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2020/9/1
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2020/9/1
01有排行有提醒,皖AT0626,0,0.73,3.088,0,2020/9/1
01有排行有提醒,粤L39ES3,0,0.73,3.088,0,2020/9/1
01有排行有提醒,粤B2K335,0,0.73,3.088,0,2020/9/1
01有排行有提醒,粤B3R80W,0,0.73,3.088,0,2020/9/1
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2020/9/1
01有排行有提醒,皖AT0665,57.24,0.73,3.088,129.0326976,2020/9/2
01有排行有提醒,皖AT0568,53.56,0.73,3.088,120.7370944,2020/9/2
01有排行有提醒,皖AT0650,38.17,0.73,3.088,86.0443408,2020/9/2
01有排行有提醒,皖AT0628,48.33,0.73,3.088,108.9474192,2020/9/2
01有排行有提醒,皖AT0553,39.87,0.73,3.088,89.8765488,2020/9/2
01有排行有提醒,皖AT0599,31.71,0.73,3.088,71.4819504,2020/9/2
01有排行有提醒,皖AT0642,20.04,0.73,3.088,45.1749696,2020/9/2
01有排行有提醒,粤BT2220,10.26,0.73,3.088,23.1285024,2020/9/2
01有排行有提醒,皖AT0547,0,0.73,3.088,0,2020/9/2
01有排行有提醒,皖AT0609,0,0.73,3.088,0,2020/9/2
01有排行有提醒,皖AT0619,0,0.73,3.088,0,2020/9/2
01有排行有提醒,皖AT0600,0,0.73,3.088,0,2020/9/2
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2020/9/2
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2020/9/2
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2020/9/2
01有排行有提醒,皖AT0626,0,0.73,3.088,0,2020/9/2
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2020/9/2
01有排行有提醒,粤L39ES3,0,0.73,3.088,0,2020/9/2
01有排行有提醒,粤B2K335,0,0.73,3.088,0,2020/9/2
01有排行有提醒,粤B3R80W,0,0.73,3.088,0,2020/9/2
01有排行有提醒,皖AT0568,55.47,0.73,3.088,125.0426928,2020/9/3
01有排行有提醒,皖AT0650,33.26,0.73,3.088,74.9760224,2020/9/3
01有排行有提醒,皖AT0665,47.77,0.73,3.088,107.6850448,2020/9/3
