部门,车牌号,油耗,,,碳排放（KG）,日期
01有排行有提醒,皖AT0599,44.98,0.73,3.088,101.3957152,2020/7/1
01有排行有提醒,皖AT0650,39.52,0.73,3.088,89.0875648,2020/7/1
01有排行有提醒,皖AT0628,49.45,0.73,3.088,111.472168,2020/7/1
01有排行有提醒,皖AT0665,45.05,0.73,3.088,101.553512,2020/7/1
01有排行有提醒,皖AT0553,37.82,0.73,3.088,85.2553568,2020/7/1
01有排行有提醒,皖AT0568,37.83,0.73,3.088,85.2778992,2020/7/1
01有排行有提醒,皖AT0642,18.69,0.73,3.088,42.1317456,2020/7/1
01有排行有提醒,粤BT2220,16.5,0.73,3.088,37.19496,2020/7/1
01有排行有提醒,粤B3R80W,1.36,0.73,3.088,3.0657664,2020/7/1
01有排行有提醒,皖AT0609,0,0.73,3.088,0,2020/7/1
01有排行有提醒,皖AT0600,0,0.73,3.088,0,2020/7/1
01有排行有提醒,皖AT0619,0,0.73,3.088,0,2020/7/1
01有排行有提醒,皖AT0547,0,0.73,3.088,0,2020/7/1
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2020/7/1
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2020/7/1
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2020/7/1
01有排行有提醒,皖AT0626,0,0.73,3.088,0,2020/7/1
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2020/7/1
01有排行有提醒,粤L39ES3,0,0.73,3.088,0,2020/7/1
01有排行有提醒,粤B2K335,0,0.73,3.088,0,2020/7/1
01有排行有提醒,皖AT0628,51.73,0.73,3.088,116.6118352,2020/7/2
01有排行有提醒,皖AT0650,30.64,0.73,3.088,69.0699136,2020/7/2
01有排行有提醒,皖AT0568,43.71,0.73,3.088,98.5328304,2020/7/2
01有排行有提醒,皖AT0665,40.43,0.73,3.088,91.1389232,2020/7/2
01有排行有提醒,皖AT0553,36.11,0.73,3.088,81.4006064,2020/7/2
01有排行有提醒,皖AT0599,22.67,0.73,3.088,51.1036208,2020/7/2
01有排行有提醒,粤BT2220,13.41,0.73,3.088,30.2293584,2020/7/2
01有排行有提醒,皖AT0642,4.18,0.73,3.088,9.4227232,2020/7/2
01有排行有提醒,粤B3R80W,1.09,0.73,3.088,2.4571216,2020/7/2
01有排行有提醒,皖AT0619,0,0.73,3.088,0,2020/7/2
01有排行有提醒,皖AT0547,0,0.73,3.088,0,2020/7/2
01有排行有提醒,皖AT0600,0,0.73,3.088,0,2020/7/2
01有排行有提醒,皖AT0609,0,0.73,3.088,0,2020/7/2
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2020/7/2
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2020/7/2
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2020/7/2
