车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
皖AT0623,04无排行无提醒,0,31,1045.76,2357.14,0
皖AT0608,04无排行无提醒,0,31,943.73,2127.17,0
皖AT0658,04无排行无提醒,2,29,858.89,1935.94,133.51
皖AT0661,04无排行无提醒,6,25,625.63,1410.17,338.44
皖AT0565,04无排行无提醒,7,24,463.66,1045.09,304.82
粤BP439V,04无排行无提醒,8,23,133.12,300.05,104.37
皖AT0540,04无排行无提醒,0,31,675.52,1522.62,0
皖AT0616,04无排行无提醒,31,0,0,0,1972.22
皖AT0666,04无排行无提醒,1,30,758.43,1709.5,56.98
皖AT0556,04无排行无提醒,0,0,0,0,0
皖AT0560,04无排行无提醒,31,0,0,0,4666.74
粤B3RC91,04无排行无提醒,31,0,0,0,259.47
粤B4C0S6,04无排行无提醒,31,0,0,0,583.11
粤STB959,04无排行无提醒,31,0,0,0,283.96
粤S09158,04无排行无提醒,31,0,0,0,309.69
粤B83CT2,04无排行无提醒,31,0,0,0,102.92
粤B0Y92H,04无排行无提醒,31,0,0,0,632.4
粤PR5795,04无排行无提醒,22,9,23.06,51.98,127.06
