日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
2019年12月,皖AT0591,03无排行有提醒,0,31,1638.28,3692.68,0
2019年12月,皖AT0589,03无排行有提醒,0,31,1599.37,3604.98,0
2019年12月,皖AT0632,03无排行有提醒,8,23,1602.43,3611.88,1256.31
2019年12月,皖AT0539,03无排行有提醒,9,22,1091.25,2459.68,1006.23
2019年12月,皖AT0549,03无排行有提醒,0,31,2036.17,4589.53,0
2019年12月,皖AT0633,03无排行有提醒,0,31,1545.06,3482.57,0
2019年12月,皖AT0579,03无排行有提醒,0,31,1382.65,3116.49,0
2019年12月,皖AT0596,03无排行有提醒,0,31,1150.12,2592.37,0
2019年12月,皖AT0631,03无排行有提醒,0,30,1045.63,2356.85,0
2019年12月,皖AT0621,03无排行有提醒,0,31,1366.13,3079.26,0
2019年12月,粤STC809,03无排行有提醒,0,31,658.54,1484.35,0
2019年12月,皖AT0563,03无排行有提醒,0,28,1058.64,2386.17,0
2019年12月,粤BY1047,03无排行有提醒,31,0,0,0,83.7
2019年12月,1.22E+16,03无排行有提醒,31,0,0,0,18.29
2019年12月,粤B892VK,03无排行有提醒,31,0,0,0,187.24
2019年12月,粤B2X562,03无排行有提醒,5,26,59.17,133.37,25.65
2019年12月,渝D865V3,03无排行有提醒,31,0,0,0,313.72
2019年12月,粤B3AU48,03无排行有提醒,31,0,0,0,115.01
2019年12月,粤BS207S,03无排行有提醒,0,11,79.56,179.33,0
2019年12月,粤B533CJ,03无排行有提醒,31,0,0,0,153.14
