日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
2020年3月,皖AT0549,03无排行有提醒,0,31,1324.15,2984.63,0
2020年3月,皖AT0579,03无排行有提醒,0,31,679.34,1531.23,0
2020年3月,皖AT0591,03无排行有提醒,1,30,1138.96,2567.22,85.57
2020年3月,皖AT0589,03无排行有提醒,0,31,1056.22,2380.72,0
2020年3月,皖AT0596,03无排行有提醒,0,31,747.69,1685.29,0
2020年3月,渝D865V3,03无排行有提醒,31,0,0,0,313.72
2020年3月,皖AT0632,03无排行有提醒,18,13,681.21,1535.45,2126
2020年3月,皖AT0631,03无排行有提醒,4,27,472.42,1064.83,157.75
2020年3月,皖AT0539,03无排行有提醒,31,0,0,0,3421.47
2020年3月,皖AT0621,03无排行有提醒,17,14,187.97,423.68,514.47
2020年3月,皖AT0563,03无排行有提醒,11,20,450.99,1016.53,559.09
2020年3月,粤B2X562,03无排行有提醒,31,0,0,0,207.39
2020年3月,粤B533CJ,03无排行有提醒,31,0,0,0,153.14
2020年3月,粤B3AU48,03无排行有提醒,31,0,0,0,115.01
2020年3月,1.22E+16,03无排行有提醒,31,0,0,0,18.29
2020年3月,皖AT0633,03无排行有提醒,31,0,0,0,3432.94
2020年3月,粤BS207S,03无排行有提醒,31,0,0,0,315.89
2020年3月,粤B892VK,03无排行有提醒,31,0,0,0,187.24
2020年3月,粤STC809,03无排行有提醒,7,24,258.41,582.46,169.88
2020年3月,粤BY1047,03无排行有提醒,31,0,0,0,83.7
